"","Ecad","GRHL2","Iext","KEAP1","NRF2","OVOL2","SNAIL","ZEB","miR200","miR34"
"Ecad",1,1,-0.057710424506978,-0.057710424506978,-1,1,-0.057710424506978,-1,0.057710424506978,0.057710424506978
"GRHL2",1,1,-0.057710424506978,-0.057710424506978,-1,1,-0.057710424506978,-1,0.057710424506978,0.057710424506978
"Iext",-0.057710424506978,-0.057710424506978,1,1,0.057710424506978,-0.057710424506978,1,0.057710424506978,-1,-1
"KEAP1",-0.057710424506978,-0.057710424506978,1,1,0.057710424506978,-0.057710424506978,1,0.057710424506978,-1,-1
"NRF2",-1,-1,0.057710424506978,0.057710424506978,1,-1,0.057710424506978,1,-0.057710424506978,-0.057710424506978
"OVOL2",1,1,-0.057710424506978,-0.057710424506978,-1,1,-0.057710424506978,-1,0.057710424506978,0.057710424506978
"SNAIL",-0.057710424506978,-0.057710424506978,1,1,0.057710424506978,-0.057710424506978,1,0.057710424506978,-1,-1
"ZEB",-1,-1,0.057710424506978,0.057710424506978,1,-1,0.057710424506978,1,-0.057710424506978,-0.057710424506978
"miR200",0.057710424506978,0.057710424506978,-1,-1,-0.057710424506978,0.057710424506978,-1,-0.057710424506978,1,1
"miR34",0.057710424506978,0.057710424506978,-1,-1,-0.057710424506978,0.057710424506978,-1,-0.057710424506978,1,1
