"Network","JSD0","JSDAll","MinCoh","MeanCoh","MaxCoh"
"GRHL2-ZEB_2-0",0.00384380049370473,0.00384380049370473,"0.532","0.596","0.668"
"GRHL2-ZEB_2-1",0.226432207359145,0.226432207359145,"0.8","0.8","0.8"
"miR-ZEB_2-1",3.13139445208527e-05,3.13139445208527e-05,"0.604","0.6435","0.682"
"miR200-ZEB_2-0",0.0038788839720538,0.0038788839720538,"0.6","0.634","0.674"
"OVOL2-miR200_2-0",0.16288094533682,0.16288094533682,"0.192","0.453","0.722"
"OVOL2-miR200_2-1",0.382654826497096,0.382654826497096,"0.596","0.6605","0.726"
"OVOL2-OVOL2_2-0",2.48653900568492e-06,2.48653900568492e-06,"0.428","0.575","0.714"
"OVOL2-OVOL2_2-1",0.253366169878643,0.253366169878643,"0.2","0.38375","0.518"
"OVOL2-ZEB_2-0",0.000906955438440682,0.000906955438440682,"0.492","0.5905","0.692"
"OVOL2-ZEB_2-1",0.226432300876218,0.226432300876218,"0.8","0.8","0.8"
"SNAIL-miR200_2-0",0.311593832586441,0.311593832586441,"0.142","0.36625","0.514"
"SNAIL-miR200_2-1",1,1,"0.642","0.658","0.668"
"SNAIL-ZEB_1-0",0.0099321179546611,0.0099321179546611,"0.6","0.622","0.656"
"SNAIL-ZEB_1-2",0.0270132655870064,0.0270132655870064,"0.662","0.6695","0.674"
"wild",0,0,"0.426","0.5675","0.716"
"ZEB-GRHL2_2-0",0.14020002139334,0.14020002139334,"0.322","0.465","0.6"
"ZEB-GRHL2_2-1",1,1,"0.8","0.8","0.8"
"ZEB-miR200_2-0",0.112375131400137,0.112375131400137,"0.36","0.436666666666667","0.53"
"ZEB-miR200_2-1",0.634740684641125,0.634740684641125,"0.408","0.559","0.706"
"ZEB-OVOL2_2-1",1,1,"0.336","0.555","0.758"
"ZEB-ZEB_1-0",2.30258144624757e-06,2.30258144624757e-06,"0.414","0.5665","0.716"
"ZEB-ZEB_1-2",0.226433715377604,0.226433715377604,"0.8","0.8","0.8"
