"","GRHL2","OVOL2","SNAIL","ZEB","miR200"
"GRHL2",1,1,-0.179350373714156,-1,0.330195504910904
"OVOL2",1,1,-0.179350373714156,-1,0.330195504910904
"SNAIL",-0.179350373714156,-0.179350373714156,1,0.179350373714156,-0.024898465076053
"ZEB",-1,-1,0.179350373714156,1,-0.330195504910904
"miR200",0.330195504910904,0.330195504910904,-0.024898465076053,-0.330195504910904,1
