"","GRHL2","OVOL2","SNAIL","ZEB","miR200"
"GRHL2",1,1,-0.240923916796483,-1,1
"OVOL2",1,1,-0.240923916796483,-1,1
"SNAIL",-0.240923916796483,-0.240923916796483,1,0.240923916796483,-0.240923916796483
"ZEB",-1,-1,0.240923916796483,1,-1
"miR200",1,1,-0.240923916796483,-1,1
