"","GRHL2","OVOL2","SNAIL","ZEB","miR200"
"GRHL2",1,1,0.157031557748151,-1,-0.157031557748151
"OVOL2",1,1,0.157031557748151,-1,-0.157031557748151
"SNAIL",0.157031557748151,0.157031557748151,1,-0.157031557748151,-1
"ZEB",-1,-1,-0.157031557748151,1,0.157031557748151
"miR200",-0.157031557748151,-0.157031557748151,-1,0.157031557748151,1
