"","GRHL2","OVOL2","SNAIL","ZEB","miR200"
"GRHL2",1,-1,-0.412485387866604,-1,1
"OVOL2",-1,1,0.412485387866604,1,-1
"SNAIL",-0.412485387866604,0.412485387866604,1,0.412485387866604,-0.412485387866604
"ZEB",-1,1,0.412485387866604,1,-1
"miR200",1,-1,-0.412485387866604,-1,1
