"","GRHL2","OVOL2","SNAIL","ZEB","miR200"
"GRHL2",1,1,-0.22852372412766,-1,0.22852372412766
"OVOL2",1,1,-0.22852372412766,-1,0.22852372412766
"SNAIL",-0.22852372412766,-0.22852372412766,1,0.22852372412766,-1
"ZEB",-1,-1,0.22852372412766,1,-0.22852372412766
"miR200",0.22852372412766,0.22852372412766,-1,-0.22852372412766,1
