"","GRHL2","OVOL2","SNAIL","ZEB","miR200"
"GRHL2",1,1,-0.15911443658511,-1,0.15911443658511
"OVOL2",1,1,-0.15911443658511,-1,0.15911443658511
"SNAIL",-0.15911443658511,-0.15911443658511,1,0.15911443658511,-1
"ZEB",-1,-1,0.15911443658511,1,-0.15911443658511
"miR200",0.15911443658511,0.15911443658511,-1,-0.15911443658511,1
