"","GRHL2","OVOL2","SNAIL","ZEB","miR200"
"GRHL2",1,0.000600121753049488,-1,-1,1
"OVOL2",0.000600121753049488,1,-0.000600121753049488,-0.000600121753049488,0.000600121753049488
"SNAIL",-1,-0.000600121753049488,1,1,-1
"ZEB",-1,-0.000600121753049488,1,1,-1
"miR200",1,0.000600121753049488,-1,-1,1
