"","GRHL2","OVOL2","SNAIL","ZEB","miR200"
"GRHL2",1,1,-0.227923935337214,-1,0.227923935337214
"OVOL2",1,1,-0.227923935337214,-1,0.227923935337214
"SNAIL",-0.227923935337214,-0.227923935337214,1,0.227923935337214,-1
"ZEB",-1,-1,0.227923935337214,1,-0.227923935337214
"miR200",0.227923935337214,0.227923935337214,-1,-0.227923935337214,1
