"Network","JSD0","JSDAll","MinFrust","MeanFrust","MaxFrust","MinCoh","MeanCoh","MaxCoh","GroupStrength","netStrength","Jmetric","JStrength"
"GRHL2-ZEB_2-0",0.00384380049370473,0.00384380049370473,0.2,0.3,0.4,"0.532","0.596","0.668",0.247843167233421,2.93791137470954,0.745671698225635,7.25325434083686
"GRHL2-ZEB_2-1",0.226432207359145,0.226432207359145,0.272727272727273,0.272727272727273,0.272727272727273,"0.8","0.8","0.8",0.0834323820308612,2.60541586757328,1,10
"miR-ZEB_2-1",3.13139445208527e-05,3.13139445208527e-05,0.272727272727273,0.272727272727273,0.272727272727273,"0.604","0.6435","0.682",0.0566785036011023,3.27196584867377,0.78221233245982,7.64789319056606
"miR200-ZEB_2-0",0.0038788839720538,0.0038788839720538,0.2,0.25,0.3,"0.6","0.634","0.674",0.350062725948471,4.06401480104258,0.745504704675768,7.2514508104983
"OVOL2-miR200_2-0",0.16288094533682,0.16288094533682,0.1,0.266666666666667,0.4,"0.192","0.453","0.722",0.574032317022857,8.26112005346219,0.918808717554982,9.1231341495938
"OVOL2-miR200_2-1",0.382654826497096,0.382654826497096,0.0909090909090909,0.181818181818182,0.272727272727273,"0.596","0.6605","0.726",0.551021917247072,7.90262500992043,1,10
"OVOL2-OVOL2_2-0",2.48653900568492e-06,2.48653900568492e-06,0.1,0.2,0.3,"0.428","0.575","0.714",0.573771568426547,8.21216647723132,0.784935487060396,7.67730326025228
"OVOL2-OVOL2_2-1",0.0894484158419022,0.0894484158419022,0.0909090909090909,0.227272727272727,0.363636363636364,"0.2","0.38375","0.518",0.551021917247072,8.09045287803761,0.6410415250835,6.70774838461328
"OVOL2-ZEB_2-0",0.000906955438440682,0.000906955438440682,0.2,0.3,0.4,"0.492","0.5905","0.692",0.366912738082751,5.98012592259495,0.766420676829197,7.47734330975533
"OVOL2-ZEB_2-1",0.226432300876218,0.226432300876218,0.272727272727273,0.272727272727273,0.272727272727273,"0.8","0.8","0.8",0.175248687794102,3.52968274099535,1,10
"SNAIL-miR200_2-0",0.311593832586441,0.311593832586441,0.2,0.3,0.4,"0.142","0.36625","0.514",0.388207545281359,5.239285682983,0.813943195808584,7.99058651473271
"SNAIL-miR200_2-1",1,1,0.272727272727273,0.272727272727273,0.272727272727273,"0.642","0.658","0.668",0.388207545281359,5.239285682983,0.683734994359619,7.46987995487695
"SNAIL-ZEB_1-0",0.0099321179546611,0.0099321179546611,0.2,0.25,0.3,"0.6","0.622","0.656",0.388207545281359,5.239285682983,0.626653465374469,7.01322772299575
"SNAIL-ZEB_1-2",0.0270132655870064,0.0270132655870064,0.272727272727273,0.272727272727273,0.272727272727273,"0.662","0.6695","0.674",0.388207545281359,5.239285682983,0.683886834155557,7.47109467324445
"wild",0,0,0.181818181818182,0.272727272727273,0.363636363636364,"0.426","0.5675","0.716",0.388207545281359,5.239285682983,0.785701034479906,7.68557117238298
"ZEB-GRHL2_2-0",0.14020002139334,0.14020002139334,0.2,0.3,0.4,"0.322","0.465","0.6",0.247994935059556,1.87421211110391,0.721916900471084,6.99889949755204
"ZEB-GRHL2_2-1",1,1,0.272727272727273,0.272727272727273,0.272727272727273,"0.8","0.8","0.8",0.041295948572923,2.60541586757328,1,10
"ZEB-miR200_2-0",0.112375131400137,0.112375131400137,0.2,0.266666666666667,0.3,"0.36","0.436666666666667","0.53",0.0812490065511089,4.35270600051131,0.677882831000728,7.42306264800582
"ZEB-miR200_2-1",0.634740684641125,0.634740684641125,0.272727272727273,0.272727272727273,0.272727272727273,"0.408","0.559","0.706",0.0267511753547371,3.07006315943342,1,10
"ZEB-OVOL2_2-1",0.342084252686743,0.342084252686743,0.181818181818182,0.272727272727273,0.363636363636364,"0.336","0.555","0.758",0.232671337496618,4.28803368463738,1,10
"ZEB-ZEB_1-0",2.30258144624757e-06,2.30258144624757e-06,0.2,0.3,0.4,"0.414","0.5665","0.716",0.075,1.3,0.785534426482559,7.68377180601164
"ZEB-ZEB_1-2",0.226433715377604,0.226433715377604,0.272727272727273,0.272727272727273,0.272727272727273,"0.8","0.8","0.8",0.04375,0.7,1,10
