"posLoopsUnd","posLoopsUndWeighted","negLoopsUnd","negLoopsUndWeighted","inconsistency","Net"
3,1.66666666666667,5,2.33333333333333,2,"GRHL2-ZEB_2-0"
3,1.66666666666667,5,2.33333333333333,2,"GRHL2-ZEB_2-1"
4,2,4,2,3,"miR-ZEB_2-1"
2,1.33333333333333,3,1.66666666666667,2,"miR200-ZEB_2-0"
3,1.66666666666667,1,1,1,"OVOL2-miR200_2-0"
7,3,1,1,1,"OVOL2-miR200_2-1"
3,1.66666666666667,4,1.33333333333333,1,"OVOL2-OVOL2_2-0"
4,2.66666666666667,4,1.33333333333333,1,"OVOL2-OVOL2_2-1"
3,1.66666666666667,3,1.66666666666667,2,"OVOL2-ZEB_2-0"
5,2.33333333333333,3,1.66666666666667,2,"OVOL2-ZEB_2-1"
1,1,5,2.33333333333333,2,"SNAIL-miR200_2-0"
1,1,7,3,4,"SNAIL-miR200_2-1"
1,1,5,2.33333333333333,2,"SNAIL-ZEB_1-0"
1,1,7,3,4,"SNAIL-ZEB_1-2"
3,1.66666666666667,5,2.33333333333333,2,"wild"
3,1.66666666666667,5,2.33333333333333,2,"ZEB-GRHL2_2-0"
3,1.66666666666667,5,2.33333333333333,2,"ZEB-GRHL2_2-1"
2,1.33333333333333,3,1.66666666666667,2,"ZEB-miR200_2-0"
4,2,4,2,3,"ZEB-miR200_2-1"
3,1.66666666666667,3,1.66666666666667,2,"ZEB-OVOL2_2-0"
5,2.33333333333333,3,1.66666666666667,2,"ZEB-OVOL2_2-1"
2,0.666666666666667,5,2.33333333333333,2,"ZEB-ZEB_1-0"
2,0.666666666666667,6,3.33333333333333,3,"ZEB-ZEB_1-2"
