"","GRHL2","OVOL2","SNAIL","ZEB","miR200"
"GRHL2",1,1,0.00440924099858498,-1,-0.00440924099858496
"OVOL2",1,1,0.00440924099858498,-1,-0.00440924099858496
"SNAIL",0.00440924099858498,0.00440924099858498,1,-0.00440924099858493,-1
"ZEB",-1,-1,-0.00440924099858493,1,0.00440924099858496
"miR200",-0.00440924099858496,-0.00440924099858496,-1,0.00440924099858496,1
