"","GRHL2","OVOL2","SNAIL","ZEB","miR200"
"GRHL2",1,1,-0.0844181136122865,-1,0.0844181136122865
"OVOL2",1,1,-0.0844181136122865,-1,0.0844181136122865
"SNAIL",-0.0844181136122865,-0.0844181136122865,1,0.0844181136122865,-1
"ZEB",-1,-1,0.0844181136122865,1,-0.0844181136122865
"miR200",0.0844181136122865,0.0844181136122865,-1,-0.0844181136122865,1
