"","GRHL2","OVOL2","SNAIL","ZEB","miR200"
"GRHL2",1,1,-0.30746034365517,-1,-1
"OVOL2",1,1,-0.30746034365517,-1,-1
"SNAIL",-0.30746034365517,-0.30746034365517,1,0.30746034365517,0.30746034365517
"ZEB",-1,-1,0.30746034365517,1,1
"miR200",-1,-1,0.30746034365517,1,1
