"","GRHL2","OVOL2","SNAIL","ZEB","miR200"
"GRHL2",1,0.498653187927445,0.00109826220818379,-0.498653187927445,-0.00109826220818379
"OVOL2",0.498653187927445,1,-0.500247429744481,-1,0.500247429744481
"SNAIL",0.00109826220818379,-0.500247429744481,1,0.500247429744481,-1
"ZEB",-0.498653187927445,-1,0.500247429744481,1,-0.500247429744481
"miR200",-0.00109826220818379,0.500247429744481,-1,-0.500247429744481,1
