"","GRHL2","OVOL2","SNAIL","ZEB","miR200"
"GRHL2",1,1,-0.225767753417427,-1,0.225767753417427
"OVOL2",1,1,-0.225767753417427,-1,0.225767753417427
"SNAIL",-0.225767753417427,-0.225767753417427,1,0.225767753417427,-1
"ZEB",-1,-1,0.225767753417427,1,-0.225767753417427
"miR200",0.225767753417427,0.225767753417427,-1,-0.225767753417427,1
