"","GRHL2","OVOL2","SNAIL","ZEB","miR200"
"GRHL2",1,1,-0.215964396855352,-1,0.215964396855352
"OVOL2",1,1,-0.215964396855352,-1,0.215964396855352
"SNAIL",-0.215964396855352,-0.215964396855352,1,0.215964396855352,-1
"ZEB",-1,-1,0.215964396855352,1,-0.215964396855352
"miR200",0.215964396855352,0.215964396855352,-1,-0.215964396855352,1
