"","GRHL2","OVOL2","SNAIL","ZEB","miR200"
"GRHL2",1,1,-0.0838169368327656,-1,0.0838169368327656
"OVOL2",1,1,-0.0838169368327656,-1,0.0838169368327656
"SNAIL",-0.0838169368327656,-0.0838169368327656,1,0.0838169368327656,-1
"ZEB",-1,-1,0.0838169368327656,1,-0.0838169368327656
"miR200",0.0838169368327656,0.0838169368327656,-1,-0.0838169368327656,1
