Network,Hybridness,minFrust,maxFrust,meanFrust,inflnegloops,inflposloops,posLoops,negLoops,predFrust,smallPFL,JSD,Jmetric
rand_1,0.5980666666666667,0.0303030303030303,0.30303030303030304,0.09385959595959596,31.539672369141297,128.5411038450569,3.0516692030635766,-0.3643949689187682,0,3.0516692030635766,0.211199995590125,-25.995228906234907
rand_10,0.7242666666666666,0.0303030303030303,0.2727272727272727,0.14036262626262624,33.55280677355062,128.5505582013099,1.974888736407766,-0.4319825953995013,0,1.974888736407766,0.469091912650631,-26.09200588148703
rand_100,0.3472333333333334,0.0303030303030303,0.24242424242424243,0.059073737373737376,36.7302048448435,139.73622183767432,2.0110075160258716,-0.2052159699912989,0,2.0110075160258716,0.318666517269833,-22.741053268751045
rand_11,0.2678666666666667,0.0303030303030303,0.0303030303030303,0.016165656565656567,30.421759504581487,123.2115460124117,2.050857737080837,-0.3941565637332234,0,2.050857737080837,0.262404893288952,-24.55996910183874
rand_12,0.7423666666666667,0.0303030303030303,0.24242424242424243,0.1329979797979798,46.597314703223674,164.07188587009404,1.7881427427372814,-0.010227052989832,0,1.7881427427372814,0.503886488685978,-18.285566960942628
rand_13,0.5046,0.0303030303030303,0.21212121212121213,0.12228484848484848,23.759391058729097,115.6188070078445,3.9384204532461737,-0.7680394252948808,0,3.9384204532461737,0.419318921190007,-25.9882667517617
rand_14,0.2571333333333334,0.0303030303030303,0.0303030303030303,0.01542828282828283,22.008737783770073,106.25022065607861,2.304445740583414,-0.8725918859551296,0,2.304445740583414,0.261657582330572,-24.5630092462081
rand_15,0.5012,0.0303030303030303,0.24242424242424243,0.13634242424242424,24.102056177564002,117.14169173597054,3.4237125613717025,-0.8887775245433693,0,3.4237125613717025,0.469947751317153,-23.000859538995925
rand_16,0.5008666666666667,0.0303030303030303,0.06060606060606061,0.04463232323232323,29.630151023872024,118.4757688021945,2.4529981393694222,-0.3708023330762107,0,2.4529981393694222,0.150499193851389,-26.054233065808962
rand_17,NA,NA,NA,NA,26.753520689910204,116.55957595548531,1.3118933034183256,-0.4944192073804674,0,1.3118933034183256,0.5,-19.865898908818558
rand_18,0.6466999999999999,0.0303030303030303,0.30303030303030304,0.11307373737373737,42.725296565441106,151.74331767965964,3.3885462188988322,-0.09501853336355,0,3.3885462188988322,0.245684689185126,-22.91528638891391
rand_19,0.7437,0.0303030303030303,0.30303030303030304,0.1623030303030303,37.405987193643014,144.78607135598014,2.9780385569186385,-0.1421963967863462,0,2.9780385569186385,0.480469688221164,-11.513473791594322
rand_2,0.4987999999999999,0.0303030303030303,0.06060606060606061,0.04525151515151515,28.812186294784414,131.56961862158087,3.3322422219365624,-0.3637325016192281,0,3.3322422219365624,0.153710959283862,-26.01343352436711
rand_20,0.25479999999999997,0.0303030303030303,0.0303030303030303,0.015294949494949493,22.98613887493194,121.75081117087619,2.4875125429469906,-0.6935633972646833,0,2.4875125429469906,0.261563175124846,-25.531769983277577
rand_21,0.49843333333333334,0.0303030303030303,0.06060606060606061,0.04552626262626262,34.94480629275853,139.73675769793132,2.5637985578065345,-0.2742137100529214,0,2.5637985578065345,0.155252787680462,-25.995285506761046
rand_22,0.499,0.0303030303030303,0.06060606060606061,0.04502727272727273,22.369998162698845,103.22851492162275,0.8719750746381567,-0.3737277869480691,0,0.8719750746381567,0.152478351469131,-26.028185057084308
rand_23,0.498,0.0303030303030303,0.06060606060606061,0.04483232323232323,28.34912980286169,107.73961795053951,2.003897225304022,-0.3958035743728862,0,2.003897225304022,0.151491458509414,-26.041141690747764
rand_24,0.25156666666666666,0.0303030303030303,0.0303030303030303,0.015337373737373736,19.761661300653863,86.06861706340821,1.4778581023274282,-0.7887685779859703,0,1.4778581023274282,0.261590085800976,-26.167618697063286
rand_25,0.24673333333333333,0.0303030303030303,0.0303030303030303,0.01502020202020202,19.699415515051054,106.82315876685541,1.3992215626268423,-0.9375377554202048,0,1.3992215626268423,0.261409477965671,-24.463421821106767
rand_26,0.26430000000000003,0.0303030303030303,0.0303030303030303,0.016021212121212124,21.753973342199835,94.70083420962465,1.650503372471638,-0.9966762429607914,0,1.650503372471638,0.262226119109428,-24.62822351418685
rand_27,0.5,0.0303030303030303,0.06060606060606061,0.04548181818181818,27.536708139361135,108.2972520460358,0.774370669544999,-0.2805067729583699,0,0.774370669544999,0.154997171810715,-25.998199603040725
rand_28,0.2558666666666667,0.0303030303030303,0.0303030303030303,0.015603030303030303,12.946393928521402,84.04429479176821,1.8737470119920012,-0.8602169630562118,0,1.8737470119920012,0.261798657049055,-24.28219267683744
rand_29,NA,NA,NA,NA,24.37765380874987,104.54608714672499,2.550235445140053,-0.8506673128901858,0,2.550235445140053,0.5,-24.016772002862254
rand_3,0.6982666666666667,0.0303030303030303,0.30303030303030304,0.13696363636363637,43.83871159032499,154.8696452927904,1.4584668056382597,-0.0410646837025163,0,1.4584668056382597,0.304327617380898,-26.409091549517782
rand_30,0.5011333333333333,0.0303030303030303,0.06060606060606061,0.045418181818181816,13.936214723015372,78.61814804694967,1.5490252479467086,-0.9720284806459318,0,1.5490252479467086,0.154634575325846,-26.002334772291693
rand_31,0.5001,0.0303030303030303,0.06060606060606061,0.04525858585858586,30.643382904177088,122.03652739121279,1.6767523776629607,-0.2784764613214645,0,1.6767523776629607,0.153756500210766,-26.012901179319886
rand_32,0.7377666666666667,0.0303030303030303,0.21212121212121213,0.1166,20.686418856834546,108.9157268956572,2.3866694673394395,-0.6437696350502204,0,2.3866694673394395,0.434085062849576,-23.202877907445547
rand_33,0.5944,0.0303030303030303,0.2727272727272727,0.08410101010101009,42.823790431263205,156.8637250547032,2.333275467295261,-0.0516124659161456,0,2.333275467295261,0.198559339589044,-23.070015000478985
rand_34,0.2538,0.0303030303030303,0.0303030303030303,0.01537979797979798,29.31194394880341,124.5543631985692,2.674646182659674,-0.6199889350211993,0,2.674646182659674,0.261615273252606,-25.518055663845892
rand_35,0.6990000000000001,0.0303030303030303,0.24242424242424243,0.11394949494949495,15.194252687209332,79.66190660580438,2.6841641897086213,-0.8852876979814943,0,2.6841641897086213,0.433111057373706,-23.84524484620669
rand_36,0.4974333333333334,0.0303030303030303,0.06060606060606061,0.04542121212121212,41.888278270450876,150.2086538133762,1.5443801861603885,-0.0626052676210682,0,1.5443801861603885,0.154646886633055,-26.002169296007864
rand_37,0.2507,0.0303030303030303,0.0303030303030303,0.015355555555555553,18.2127259375641,93.86162401480993,1.6935364727706699,-0.7887397440659034,0,1.6935364727706699,0.261610449651752,-24.42036406846795
rand_38,0.49796666666666667,0.0303030303030303,0.06060606060606061,0.04534242424242424,18.9670511729127,89.24396316094541,2.082621518210543,-0.5852843197324253,0,2.082621518210543,0.154192931308868,-26.007278346856253
rand_39,0.5853666666666667,0.0303030303030303,0.24242424242424243,0.12283636363636363,40.74647551285921,150.19335508242796,2.0883879636150207,-0.1166711684425052,0,2.0883879636150207,0.386408491376062,-26.03700199661227
rand_4,0.4996333333333333,0.0303030303030303,0.06060606060606061,0.04386464646464646,33.18533232095961,123.50423733996602,1.505180445343332,-0.2954689693361785,0,1.505180445343332,0.147267298594966,-26.104921233255702
rand_40,0.7365333333333334,0.0303030303030303,0.2727272727272727,0.14549494949494948,23.188729103578364,110.45055564920695,2.0031686693062505,-0.8177648873454124,0,2.0031686693062505,0.478645719903488,-26.04960599157642
rand_41,0.6501,0.0303030303030303,0.2727272727272727,0.12727070707070706,37.00688028212592,138.26307544504436,1.823529232573859,-0.1746588823315074,0,1.823529232573859,0.283833658917661,-26.0423488464361
rand_42,0.5012333333333333,0.0303030303030303,0.06060606060606061,0.04517979797979797,17.702324871674033,91.12561215438939,2.680112032982123,-0.6860520898577533,0,2.680112032982123,0.153277101642593,-26.01821048729782
rand_43,0.5016666666666667,0.0303030303030303,0.06060606060606061,0.04470808080808081,34.080294880629445,129.11112236915022,1.229496444758801,-0.1566728080239252,0,1.229496444758801,0.15086618427133,-26.049351885077357
rand_44,NA,NA,NA,NA,25.76651645461436,121.46136896160931,2.3895496646471206,-0.8706587720690906,0,2.3895496646471206,0.5,-23.800932445329614
rand_45,0.5904666666666667,0.0303030303030303,0.2727272727272727,0.10978686868686868,26.956161948111152,104.81858885656678,2.8864521013195636,-0.5073010068173467,0,2.8864521013195636,0.231020065304401,-26.03940475437483
rand_46,0.5042666666666666,0.0303030303030303,0.06060606060606061,0.04535151515151515,30.524818468438596,125.24675261331845,2.8837715822582872,-0.4069831692623911,0,2.8837715822582872,0.154259134614191,-26.00682385375599
rand_47,0.33253333333333335,0.0303030303030303,0.2727272727272727,0.035551515151515146,21.3677359374535,92.70043684903456,3.418553058122462,-0.973456165618616,0,3.418553058122462,0.284768791544736,-26.32665259769493
rand_48,0.7174333333333334,0.0303030303030303,0.24242424242424243,0.12179797979797981,30.743895083187304,123.80539252727499,0.8072669417840693,-0.4439284179582579,0,0.8072669417840693,0.440915615967479,-26.137416484001783
rand_49,0.4955333333333334,0.0303030303030303,0.06060606060606061,0.04557070707070707,23.222666634632066,99.85377754412912,1.3708630317661004,-0.4785496716592163,0,1.3708630317661004,0.155536018253283,-25.992354864548467
rand_5,0.4986666666666667,0.0303030303030303,0.06060606060606061,0.04553030303030303,24.945464885607066,94.08556372589436,2.4785860855357704,-0.491958937901702,0,2.4785860855357704,0.155278138787058,-25.99500572872999
rand_50,0.5007333333333333,0.0303030303030303,0.24242424242424243,0.12736262626262626,35.39221138294789,140.02299450372345,1.2233036197770915,-0.1822407685415319,0,1.2233036197770915,0.452162819501496,-27
rand_51,0.5001333333333333,0.0303030303030303,0.06060606060606061,0.04566969696969697,15.072020974975906,73.12900417919873,2.5344806335281223,-0.8948784966609247,0,2.5344806335281223,0.156125991151086,-25.985798567850594
rand_52,0.5006666666666666,0.0303030303030303,0.06060606060606061,0.045473737373737375,26.004310834629628,117.1676278447563,1.4958663530900633,-0.3118137639049279,0,1.4958663530900633,0.154946873550043,-25.998791896679865
rand_53,0.49763333333333337,0.0303030303030303,0.06060606060606061,0.044732323232323234,38.58057074974096,139.2648174843862,3.5712637718098343,-0.2492624282311675,0,3.5712637718098343,0.150986877773938,-26.047720099907295
rand_54,0.6922666666666667,0.0303030303030303,0.2727272727272727,0.12158585858585859,29.104443006352543,129.75888802286835,3.2889315611540453,-0.2801558063661731,0,3.2889315611540453,0.277868929537772,-24.1277232956948
rand_55,0.4975333333333334,0.0303030303030303,0.06060606060606061,0.044194949494949495,17.79655417270198,77.8526663454594,1.2102110179212215,-0.52263847799581,0,1.2102110179212215,0.148558433680483,-26.083106868634843
rand_56,0.6554666666666668,0.0303030303030303,0.3333333333333333,0.12974040404040404,18.33594057702975,82.44403014009771,1.0229830612493305,-0.6214307385657498,0,1.0229830612493305,0.276623632009851,-24.775133288180072
rand_57,0.49850000000000005,0.0303030303030303,0.06060606060606061,0.04525050505050505,19.65197366219513,80.31645477881898,1.473221806500867,-0.7072556536345307,0,1.473221806500867,0.153673971617216,-26.013498801854958
rand_58,0.501,0.0303030303030303,0.06060606060606061,0.04547171717171717,30.952749035815746,123.3382982924704,1.5058150689552778,-0.4161308388912497,0,1.5058150689552778,0.15494501941526,-25.998882930338585
rand_59,0.49816666666666665,0.0303030303030303,0.06060606060606061,0.04517373737373737,35.04589227552214,134.24716427703072,2.342833313626238,-0.2009064587461551,0,2.342833313626238,0.153253752197046,-26.018492052207243
rand_6,0.7293000000000001,0.0303030303030303,0.24242424242424243,0.12601919191919192,25.705810388556536,118.18804809306766,2.18048378711498,-0.9851762941458024,0,2.18048378711498,0.457016249414745,-23.389924038953918
rand_60,0.5683666666666667,0.0303030303030303,0.3333333333333333,0.1408242424242424,28.56041549360052,122.27000156513647,1.3422643294872485,-0.4761652124492703,0,1.3422643294872485,0.457365460359544,-23.972986987342033
rand_61,0.4955666666666666,0.0303030303030303,0.06060606060606061,0.04552424242424242,44.71660297782224,159.36327071724835,1.96674629541037,-0.0350231878199305,0,1.96674629541037,0.155282883009756,-25.995403183994885
rand_62,0.2556,0.0303030303030303,0.0303030303030303,0.01574141414141414,32.95213797583808,126.03503898667805,3.746569571468301,-0.5464839160517414,0,3.746569571468301,0.261949415035904,-24.61293304541596
rand_63,0.5042333333333333,0.0303030303030303,0.06060606060606061,0.04561717171717172,38.631700196313915,144.85410747573258,2.4804083984307166,-0.2812885311630679,0,2.4804083984307166,0.155787342497448,-25.98935358131406
rand_64,0.5029666666666667,0.0303030303030303,0.06060606060606061,0.04541111111111111,14.041162390313064,80.82100335882124,1.9353670605196227,-0.9576265639053728,0,1.9353670605196227,0.154575437429576,-26.002852337643
rand_65,0.49810000000000004,0.0303030303030303,0.06060606060606061,0.04543535353535354,33.86590903811816,135.61565675470263,1.445987766407913,-0.2156525035640999,0,1.445987766407913,0.154722499201288,-26.00118808984945
rand_66,0.2500666666666667,0.0303030303030303,0.0303030303030303,0.015193939393939395,31.05134111933073,134.15504131880505,1.970624608699574,-0.4829095393472569,0,1.970624608699574,0.261496315198544,-22.328309778827744
rand_67,0.6417333333333334,0.0303030303030303,0.30303030303030304,0.11236464646464646,25.197016242752586,113.33376260072981,1.7407193532551755,-0.6816801652237305,0,1.7407193532551755,0.227656465982659,-23.849004292123325
rand_68,0.5916,0.0303030303030303,0.30303030303030304,0.08887777777777779,46.21954270510814,161.48986481419334,2.8893969659244267,-0.0257075721771682,0,2.8893969659244267,0.205148939345278,-20.518341468755033
rand_69,0.5018333333333334,0.0303030303030303,0.06060606060606061,0.045344444444444444,32.535402854333576,138.469449895816,2.3998000197880507,-0.2841867528964863,0,2.3998000197880507,0.154191957727944,-26.007305597226562
rand_7,0.5593666666666667,0.0303030303030303,0.30303030303030304,0.1383030303030303,43.79418340053578,157.1304528128087,1.884396705021145,-0.0574499695313519,0,1.884396705021145,0.463175443895677,-26.139940703428145
rand_70,0.49940000000000007,0.0303030303030303,0.06060606060606061,0.04546060606060606,26.99405973185922,120.42770971160269,2.2207450621046196,-0.7250484818188121,0,2.2207450621046196,0.154864231683862,-25.99959391221262
rand_71,0.4991333333333333,0.0303030303030303,0.06060606060606061,0.044963636363636365,18.238322510839026,107.59592219258352,1.9711400573254698,-0.6515646569574045,0,1.9711400573254698,0.152135259205213,-26.032401618856532
rand_72,0.7152,0.0303030303030303,0.24242424242424243,0.12296464646464646,19.96955338275292,84.76434523603766,2.464391516479407,-0.83843545213069,0,2.464391516479407,0.439793268783864,-19.136612784827737
rand_73,NA,NA,NA,NA,31.109991557517578,127.74622056292401,1.1524604804577505,-0.5346965025985289,0,1.1524604804577505,0.5,-20.6055603296457
rand_74,0.25713333333333327,0.0303030303030303,0.0303030303030303,0.015555555555555552,21.073949952947142,103.48674196815833,1.8837637327056036,-0.844947533240237,0,1.8837637327056036,0.261752629588888,-24.446006760027668
rand_75,0.4979,0.0303030303030303,0.06060606060606061,0.045402020202020194,16.12087600532073,97.86234539865735,1.3363209873027366,-0.8650040830144194,0,1.3363209873027366,0.154531818782839,-26.003499969393744
rand_76,0.37193333333333334,0.0303030303030303,0.30303030303030304,0.0545090909090909,23.052674282229045,92.73795226747274,2.8371294254620296,-0.6011018867162743,0,2.8371294254620296,0.294446959906128,-26.168639904922923
rand_77,0.5018666666666667,0.0303030303030303,0.06060606060606061,0.04486969696969697,25.901375618253212,101.37846435724867,2.156831947069848,-0.3445201677958196,0,2.156831947069848,0.151649799365308,-26.038717325241592
rand_78,0.25020000000000003,0.0303030303030303,0.0303030303030303,0.015383838383838383,21.2754616162255,109.90722689276134,3.2422713404093937,-0.6623190843228257,0,3.2422713404093937,0.261639757019211,-25.53367434525323
rand_79,0.501,0.0303030303030303,0.06060606060606061,0.045473737373737375,21.956905799156296,121.69141916791338,2.940372396952648,-0.7035734102684308,0,2.940372396952648,0.154946552700388,-25.9986893957036
rand_8,0.4986333333333334,0.0303030303030303,0.06060606060606061,0.04400808080808081,42.68136299935065,152.38675264336763,1.722996924344424,-0.0481899365076003,0,1.722996924344424,0.147797366682393,-26.09541301019608
rand_80,0.2517666666666667,0.0303030303030303,0.0303030303030303,0.015295959595959596,29.349883759842704,122.63093631576672,2.067236287237425,-0.4725895497305099,0,2.067236287237425,0.261558973211026,-26.176327203273445
rand_81,0.6773,0.0303030303030303,0.2727272727272727,0.1454141414141414,27.53780715886073,103.38203521680717,1.8569031504058593,-0.3206157614874856,0,1.8569031504058593,0.333965924686501,-25.993200067106965
rand_82,0.4979333333333333,0.0303030303030303,0.24242424242424243,0.11934444444444446,26.573494251041872,106.96866551374038,0.822782051328088,-0.3772557136628303,0,0.822782051328088,0.434825281209277,-23.641639590254147
rand_83,0.5029333333333333,0.0303030303030303,0.2727272727272727,0.14197171717171717,34.62584237955694,132.32300590587337,1.2862339149083504,-0.2147241359309672,0,1.2862339149083504,0.43905574411799,-23.314946376607953
rand_84,0.6688333333333332,0.0303030303030303,0.30303030303030304,0.12166767676767673,37.350888650299474,140.11477391748062,3.0533683640185476,-0.1560635396017153,0,3.0533683640185476,0.175490161931722,-24.93431879818285
rand_85,0.5041333333333333,0.0303030303030303,0.06060606060606061,0.04514747474747474,33.71568418636259,130.50286504812573,3.781101694564671,-0.3328009890354082,0,3.781101694564671,0.153103424664664,-26.020353750315536
rand_86,0.5017999999999999,0.0303030303030303,0.06060606060606061,0.04507979797979798,24.95220107962442,106.71583031373264,2.8723612669394543,-0.4614376337185464,0,2.8723612669394543,0.152748003841565,-26.024684802022403
rand_87,0.6666,0.0303030303030303,0.30303030303030304,0.12536161616161615,28.800163285628173,108.04454104843711,3.1227558344670103,-0.4934100112365578,0,3.1227558344670103,0.276515657609001,-22.040639665169216
rand_88,0.5016666666666667,0.0303030303030303,0.06060606060606061,0.04523636363636364,31.652363086658028,123.6348439109184,2.228507767650288,-0.3735134298415612,0,2.228507767650288,0.153596845249344,-26.014285506240782
rand_89,0.6956333333333333,0.0303030303030303,0.2727272727272727,0.12974545454545455,18.349694390279083,90.86996516517826,2.5020297616858604,-0.8882636152336418,0,2.5020297616858604,0.289781967300697,-24.428492632737324
rand_9,0.2749666666666667,0.0303030303030303,0.0303030303030303,0.016896969696969695,26.48713047455249,108.01228989706047,0.9969885787454985,-0.4628303707874068,0,0.9969885787454985,0.263546146938172,-24.787026538193395
rand_90,0.6410333333333333,0.0303030303030303,0.30303030303030304,0.1118949494949495,24.12475771606574,111.01424899348608,3.009962843132707,-0.45827999302756,0,3.009962843132707,0.260649735690963,-26.615954943936877
rand_91,NA,NA,NA,NA,19.436879220314307,97.77381124644879,1.9243801229435629,-0.9034314374295748,0,1.9243801229435629,0.5,-20.274882949859325
rand_92,0.2538666666666667,0.0303030303030303,0.0303030303030303,0.015396969696969697,19.706050489272908,98.6413435037681,2.859484328387069,-0.8528869432654458,0,2.859484328387069,0.26162793398886,-19.64354220262186
rand_93,0.49673333333333336,0.0303030303030303,0.06060606060606061,0.045552525252525254,21.928881868343833,94.60414988744331,2.826189312292523,-0.5754310113968464,0,2.826189312292523,0.155426795347825,-25.993542627242284
rand_94,0.2499,0.0303030303030303,0.0303030303030303,0.01521010101010101,13.833241230094597,80.61317224337961,1.2664342636975179,-0.9341207938400824,0,1.2664342636975179,0.261507156633536,-24.532490677039437
rand_95,0.25866666666666666,0.0303030303030303,0.0303030303030303,0.015606060606060602,16.463274662552703,86.01042023111614,1.659693592009721,-0.9828587626352588,0,1.659693592009721,0.261797256589748,-25.717161685077887
rand_96,0.5009666666666667,0.0303030303030303,0.06060606060606061,0.045380808080808084,26.75141027657664,111.95242023934317,1.0502648783068014,-0.2366787689598237,0,1.0502648783068014,0.154420565500336,-26.00488377894773
rand_97,0.26389999999999997,0.0303030303030303,0.0303030303030303,0.01598181818181818,26.060637151322776,114.41899007780532,1.839838517761754,-0.6584577153930151,0,1.839838517761754,0.262179883346317,-24.953802983183586
rand_98,0.6983333333333333,0.0303030303030303,0.2727272727272727,0.12256464646464645,41.09903455932839,150.19763065173407,1.0181980717397399,-0.062949106189595,0,1.0181980717397399,0.421262396356912,-25.298129369998993
rand_99,0.5768333333333333,0.0303030303030303,0.24242424242424243,0.10183535353535353,15.736155744869105,92.33451845160097,1.0591938388898992,-0.6168076586307671,0,1.0591938388898992,0.226530997026671,-26.324644717930518
