Network,Hybridness,minFrust,maxFrust,meanFrust,inflnegloops,inflposloops,posLoops,negLoops,predFrust,smallPFL,JSD,Jmetric
rand_1,0.7323666666666667,0.1875,0.3125,0.245375,6.287976292113676,16.71891870068562,1.0856417795150901,-0.08471141874829116,-0.03269479286324136,0.6059849077534007,0.53578760447123,-10.925908098387417
rand_10,0.5002,0.125,0.1875,0.15622916666666667,2.7964511938823597,14.2150810914559,2.154196265583873,-0.5302645307715396,-0.2062187194985705,1.670964156085532,0.473994117098788,-11.00069742936154
rand_100,0.47276666666666667,0.3125,0.3125,0.14773958333333337,2.121880904597559,5.143885035680446,1.2432611762389478,-1.053445675683377,-0.307922967590548,0.39616482305296863,0.605885018779222,-10.59069573347073
rand_11,NA,NA,NA,NA,7.535230814185714,11.229694754663097,1.8925163193021879,-0.34053565198057945,-0.22238719599394466,1.0654314772227724,0.5,-10.384112441228165
rand_12,0.5042,0.125,0.1875,0.15643333333333334,1.1936288624562934,7.335904904498691,1.57729486237401,-0.7667623464094349,-0.011289346054829341,0.9062604093198005,0.474304895890703,-10.99402173995652
rand_13,0.25823333333333337,0.125,0.125,0.06401666666666667,0,14.461861128907564,1.7765035274294452,-0.9055854213235732,-0.00464254137362642,1.1707298090097618,0.452921769942582,-10.716950153559967
rand_14,NA,NA,NA,NA,4.782931318638301,11.961541262135674,2.6375293231611607,-0.7367752409291534,-0.0362887650419274,1.817798209390746,0.5,-10.35518982551481
rand_15,0.75,0.1875,0.3125,0.24967916666666667,2.766738518791234,10.674775870391501,1.1419439336826593,-0.5165231475784554,-0.011857186048908229,0.42687044331843293,0.541422426159998,-10.994892680474733
rand_16,0.8252666666666667,0.1875,0.375,0.2792729166666667,4.828688860450965,15.004813029956631,1.584511634454416,-0.21891265405500276,-0.061843730011419844,0.9910323005045687,0.506260139455251,-10.97206776642081
rand_17,NA,NA,NA,NA,2.2578901464631644,9.911824224651065,1.7862185022067851,-0.4666164969548709,-0.030837582147220818,1.5479370687130525,0.5,-10.395644346669208
rand_18,0.25089999999999996,0.375,0.375,0.1867625,4.406484444084957,12.771421958661204,0.6608864244155414,-0.11394955863986904,-0.046275534111979835,0.509752282578513,0.51326252153345,-10.49931688172748
rand_19,0.4970333333333333,0.125,0.1875,0.15549791666666665,0,15.387366426861089,1.501280106562941,-0.5489807176455856,-0.00148930145443865,0.7548932210197861,0.473097842928995,-11.02414533765965
rand_2,0.7159333333333333,0.125,0.375,0.22232083333333333,0,29.981971482714073,2.549826412216215,-0.04794741516937246,-0.01508910216217786,1.6346177153901231,0.398881158375364,-11.493291681627742
rand_20,0.5039999999999999,0.125,0.1875,0.15638125,0.3668712215315636,5.538362053484316,0.4795402310612762,-0.9009446968890126,-0.0224822225637525,0.43973197486130267,0.474201872991068,-10.995868515010114
rand_21,0.5011333333333333,0.125,0.1875,0.15626666666666666,8.666309255070313,17.22732617259266,2.180993467426233,-0.1261470713387744,-5.513037598284e-4,1.2704686525609337,0.474053731278438,-10.999483602343826
