"","GRHL2","Ecad","miR34","miR200","SNAIL","NRF2","OVOL2","ZEB","KEAP1"
"miR200",0.455477666670709,0.455477666670709,0.42851838278746,0.403817281028242,-0.134153847396814,-0.0581250675906012,-0.231217595132986,-0.46612740251277,-0.492129377929296
"GRHL2",0.452059635585957,0.452059635585957,0.427453729901357,0.399611477579236,-0.146389154436696,-0.159313872752365,-0.227575914378411,-0.462593371739028,-0.388211716854574
"Ecad",0.356314633262242,0.356314633262242,0.242095738509355,0.26144543768354,0.000388187179231952,-0.23898259288779,-0.181246291575574,-0.362823886612593,-0.254094686363654
"NRF2",0.256849417897684,0.256849417897684,0.252008625843615,0.251119875914849,-0.107333978465886,-0.0413973020598856,-0.165339259019418,-0.263837917834497,-0.243156793708367
"miR34",0.256849417897684,0.256849417897684,0.252008625843615,0.251119875914849,-0.107333978465886,-0.0413973020598856,-0.165339259019418,-0.263837917834497,-0.243156793708367
"OVOL2",0.129631126442667,0.129631126442667,0.126189537223464,0.0246794366638215,-0.0745440916589306,-0.0708516923448371,-0.116018382101064,-0.131504418368132,-0.0220205356762297
"KEAP1",-0.248023631251483,-0.248023631251483,-0.24322424252507,-0.243156793708367,0.107205828102794,-0.0605807199181364,0.161322781161539,0.256849417897684,0.235083877041701
"SNAIL",-0.263837917834497,-0.263837917834497,-0.25743090007806,-0.256155948909615,0.0111014400152021,0.0439564522288861,0.168704521374254,0.268965161784682,0.251119875914849
"ZEB",-0.462593371739028,-0.462593371739028,-0.43658142424421,-0.408027961033772,0.150084512706187,0.162984831814445,0.232475360997388,0.370713852068094,0.399611477579236
