"","GRHL2","Ecad","miR34","OVOL2","miR200","SNAIL","KEAP1","NRF2","ZEB"
"GRHL2",0.578016932554102,0.578016932554102,0.531833918265004,0.292738598213407,0.24169514757772,-0.164629864572353,-0.234328885400314,-0.283361805282326,-0.600031031244938
"miR200",0.56822500426202,0.56822500426202,0.516048503644616,0.289852101829176,0.224553326871702,-0.148160411359148,-0.318088013044425,-0.183870607828387,-0.589478132448136
"Ecad",0.47696098649217,0.47696098649217,0.338406336344388,0.244435106740626,0.229402267127709,-0.0232154207900477,-0.224650676495517,-0.323414028195296,-0.493489384705316
"OVOL2",0.164301991555097,0.164301991555097,0.157403300113947,0.00388192017555266,-0.00703920308941437,-0.0790370671256125,0.00676065155738094,-0.103109314221534,-0.169673420126526
"NRF2",0.15919645632226,0.15919645632226,0.178097138728054,0.109629614522384,-0.011735095032205,-0.0808434484498057,0.0137312315421857,-0.102314723740113,-0.164617914681922
"miR34",0.15919645632226,0.15919645632226,0.178097138728054,0.109629614522384,-0.011735095032205,-0.0808434484498057,0.0137312315421857,-0.102314723740113,-0.164617914681922
"KEAP1",-0.154821935984578,-0.154821935984578,-0.178422486258371,-0.110453507416308,0.0137312315421857,0.0667041917219117,-0.018939564875519,-0.00698930556391581,0.15919645632226
"SNAIL",-0.164617914681922,-0.164617914681922,-0.185508880487368,-0.113537387685053,0.0108155873224865,-0.025774302361539,-0.011735095032205,0.103135583228283,0.168987109567173
"ZEB",-0.600031031244938,-0.600031031244938,-0.549692450674934,-0.303630756399397,-0.250179278588487,0.171051676199212,0.24169514757772,0.294259364382845,0.516424582628207
