"","ZEB","SNAIL","OVOL2","NRF2","miR34","miR200","KEAP1","Iext","GRHL2","Ecad"
"ZEB",0.576324447719128,0.307041986738411,-0.327210564393636,0.296902430526641,-0.624336854480243,-0.335092366764445,0.322111275172652,0,-0.649956057248471,-0.649956057248471
"SNAIL",0.354010860053822,0.0638738656280992,-0.209241065355653,0.0977785253697364,-0.329508312842709,-0.228848436524875,0.218959583958677,0,-0.340886421280723,-0.340886421280723
"OVOL2",-0.183364897965274,-0.112003522197619,0.0118371317029493,-0.100870070909426,0.177415078560297,0.0153291599655925,-0.00696624083344256,0,0.178434718426944,0.178434718426944
"NRF2",0,0,0,0,0,0,0,0,0,0
"miR34",-0.340886421280723,-0.157285951043819,0.199606884959116,-0.092237628272111,0.312806851464839,0.218959583958677,-0.212095649930057,0,0.323141997097808,0.323141997097808
"miR200",-0.649956057248471,-0.287641799296987,0.314207515613148,-0.17928842577194,0.597861499346293,0.322111275172652,-0.401777345536396,0,0.6206633602962,0.6206633602962
"KEAP1",0,0,0,-0.1,0,0,0,0,0,0
"Iext",0.340886421280723,0.157285951043819,-0.199606884959116,0.092237628272111,-0.312806851464839,-0.218959583958677,0.212095649930057,0,-0.323141997097808,-0.323141997097808
"GRHL2",-0.649956057248471,-0.287641799296987,0.314207515613148,-0.27928842577194,0.597861499346293,0.322111275172652,-0.301777345536396,0,0.6206633602962,0.6206633602962
"Ecad",-0.649956057248471,-0.287641799296987,0.314207515613148,-0.37928842577194,0.597861499346293,0.322111275172652,-0.301777345536396,0,0.6206633602962,0.6206633602962
