"","miR34","GRHL2","Ecad","OVOL2","miR200","SNAIL","NRF2","KEAP1","ZEB"
"GRHL2",0.596615561155241,0.596615561155241,0.596615561155241,0.302702254282127,0.297347707424224,-0.169813611296769,-0.27293827958003,-0.281105611669933,-0.620868543944809
"miR200",0.595703051074293,0.595703051074293,0.595703051074293,0.304456514666762,0.297794121129615,-0.156768929132558,-0.170865442392038,-0.382183299418978,-0.619917505119855
"Ecad",0.469737736702935,0.469737736702935,0.469737736702935,0.241150618111328,0.20783910113715,-0.0265641847053867,-0.322693309498154,-0.197019525665452,-0.486395790105175
"NRF2",0.320246943253672,0.320246943253672,0.320246943253672,0.196418911908794,0.209394401776067,-0.153399620195873,-0.0951151756957626,-0.203314401776067,-0.335982351813983
"miR34",0.320246943253672,0.320246943253672,0.320246943253672,0.196418911908794,0.209394401776067,-0.153399620195873,-0.0951151756957626,-0.203314401776067,-0.335982351813983
"OVOL2",0.169158764037712,0.169158764037712,0.169158764037712,0.00709775644692728,0.00687614327808713,-0.079023441225036,-0.0985711434074634,-9.3472823541671e-05,-0.173046385849862
"KEAP1",-0.3032763962691,-0.3032763962691,-0.3032763962691,-0.189465372775648,-0.203314401776067,0.144943737842932,-0.0171966046408184,0.190103833321303,0.320246943253672
"SNAIL",-0.335982351813983,-0.335982351813983,-0.335982351813983,-0.204599975031718,-0.217615282457885,0.0551547222366893,0.100959331539918,0.209394401776067,0.348039162927398
"ZEB",-0.620868543944809,-0.620868543944809,-0.620868543944809,-0.313530190074861,-0.307107476224272,0.17956869639432,0.288121316187352,0.297347707424224,0.541977390828373
