"","GRHL2","Ecad","miR34","NRF2","miR200","OVOL2","KEAP1","SNAIL","ZEB"
"GRHL2",0.62234000260676,0.62234000260676,0.597279358754867,0.523493668704907,0.329908534052075,0.316960447352922,-0.309211217354075,-0.321615858927975,-0.651826407440597
"miR200",0.619493905126174,0.619493905126174,0.585171825626625,0.621960461691983,0.328415970715019,0.317847743914674,-0.408548108515869,-0.285598466221905,-0.648755189767938
"Ecad",0.599131654509545,0.599131654509545,0.551512524867991,0.608539296226332,0.34044693378633,0.310780011535136,-0.321020915104862,-0.315660797451842,-0.626109956998377
"NRF2",0.325851002923596,0.325851002923596,0.316371251196972,0.267825290843108,0.224331055675295,0.20168806007073,-0.216539684136339,-0.16859348669064,-0.344162641998536
"miR34",0.325851002923596,0.325851002923596,0.316371251196972,0.267825290843108,0.224331055675295,0.20168806007073,-0.216539684136339,-0.16859348669064,-0.344162641998536
"OVOL2",0.176998827132323,0.176998827132323,0.17524928245728,0.0884718705937878,0.0158592863726059,0.0113820748741439,-0.00805140252015378,-0.121629823296231,-0.182052243281391
"KEAP1",-0.308429667543703,-0.308429667543703,-0.29966021895799,-0.347239210257028,-0.216539684136339,-0.19519990353108,0.201956350803005,0.158555041581712,0.325851002923596
"SNAIL",-0.344162641998536,-0.344162641998536,-0.332794110568925,-0.284194194754262,-0.234459786754656,-0.211834707523472,0.224331055675295,0.0772149061911337,0.357520132939433
"ZEB",-0.651826407440597,-0.651826407440597,-0.623495217442907,-0.55307275769203,-0.343590252300003,-0.330363065789958,0.329908534052075,0.340363042343928,0.57818479661329
