"","GRHL2","Ecad","OVOL2","miR200","SNAIL","miR34","KEAP1","NRF2","ZEB"
"GRHL2",0.5903237193709,0.5903237193709,0.294304525139274,0.278064124856227,0.163990978224317,-0.141556610682551,-0.262493017633033,-0.278479968724303,-0.612400904387926
"miR200",0.589054142712123,0.589054142712123,0.296305444409813,0.279504338664293,0.0364991268922667,-0.013980450264732,-0.364895564354027,-0.175562910098329,-0.611293485290448
"Ecad",0.447970980351147,0.447970980351147,0.227339701309957,0.181533078304627,0.108325267195505,-0.0908792240300375,-0.172285519430417,-0.320460723389502,-0.461855942838915
"NRF2",0.309955426588804,0.309955426588804,0.191252289803566,0.199202768832045,-0.0100870326996123,0.0167018186918302,-0.195762272498147,-0.0921096141355915,-0.325000240929393
"miR34",0.309955426588804,0.309955426588804,0.191252289803566,0.199202768832045,-0.0100870326996123,0.0167018186918302,-0.195762272498147,-0.0921096141355915,-0.325000240929393
"OVOL2",0.161927664538104,0.161927664538104,0.00299077316625366,-0.00060636139117058,0.0837771311098085,-0.0625306721862957,0.00856886287449798,-0.0965397368986492,-0.164262321067741
"KEAP1",-0.296972643899181,-0.296972643899181,-0.187707057529727,-0.195762272498147,0.0167018186918302,-0.0145120376699324,0.184305644020242,-0.0210686804380519,0.309955426588804
"SNAIL",-0.325000240929393,-0.325000240929393,-0.19990775198844,-0.206714186575704,-0.0942647352060994,-0.0100870326996123,0.199202768832045,0.0962330196532421,0.33429166634985
"ZEB",-0.612400904387926,-0.612400904387926,-0.303204562300181,-0.28470091161713,-0.16103288455135,0.163990978224317,0.278064124856227,0.295155375121786,0.532320814531014
