"","GRHL2","Ecad","miR34","OVOL2","miR200","SNAIL","KEAP1","ZEB","NRF2"
"miR200",0.595371137890246,0.595371137890246,0.547518779342136,0.30208098074455,0.295838829711608,-0.162484760307556,-0.379889553055062,-0.619236438036658,-0.564761458443357
"GRHL2",0.595371137890246,0.595371137890246,0.547518779342136,0.30208098074455,0.295838829711608,-0.162484760307556,-0.279889553055062,-0.619236438036658,-0.564761458443357
"Ecad",0.460825588476401,0.460825588476401,0.326254640093079,0.236848101708407,0.200265165353203,-0.0121883002254503,-0.190300501042249,-0.476534908125466,-0.541442657399019
"NRF2",0.316069725345172,0.316069725345172,0.296825261442089,0.196261670505381,0.210040609479873,-0.112294579096907,-0.204952811190814,-0.331138218495857,-0.300831630107077
"miR34",0.316069725345172,0.316069725345172,0.296825261442089,0.196261670505381,0.210040609479873,-0.112294579096907,-0.204952811190814,-0.331138218495857,-0.300831630107077
"OVOL2",0.172218961346622,0.172218961346622,0.166168815284808,0.0086389424411292,0.009168895847342,-0.0822567620307937,-0.00198509075955984,-0.176337163169948,-0.163988119340946
"KEAP1",0,0,0,0,0,0,0,0,0
"SNAIL",-0.331138218495857,-0.331138218495857,-0.31023634015929,-0.204446849171109,-0.218071116433664,0.0132381314888948,0.210040609479873,0.342058764523158,0.316069725345172
"ZEB",-0.619236438036658,-0.619236438036658,-0.56677055884884,-0.31279027982302,-0.305207150775488,0.171915740286481,0.295838829711608,0.539769641771862,0.595371137890246
