Cycles,Edge_count
"miR200,SNAIL,NRF2,KEAP1",4
SNAIL,1
"ZEB,miR34,SNAIL",3
"miR200,ZEB,SNAIL",3
"Ecad,ZEB,SNAIL,NRF2",4
"miR200,OVOL2,ZEB",3
OVOL2,1
