Cycles,Edge_count
"miR200,SNAIL,NRF2,KEAP1",4
SNAIL,1
"miR200,ZEB,miR34,SNAIL",4
"Ecad,ZEB,miR34,SNAIL,NRF2",5
ZEB,1
"miR200,OVOL2,ZEB",3
OVOL2,1
