"EdgeList","Nature","Cycles","Edge_count"
"miR200,ZEB;ZEB,Ecad;Ecad,NRF2;KEAP1,NRF2;miR200,KEAP1","N","miR200,ZEB,Ecad,NRF2,KEAP1",5
"ZEB,miR200;ZEB,Ecad;Ecad,NRF2;KEAP1,NRF2;miR200,KEAP1","N","miR200,ZEB,Ecad,NRF2,KEAP1",5
"miR200,ZEB;Ecad,ZEB;Ecad,NRF2;KEAP1,NRF2;miR200,KEAP1","N","miR200,ZEB,Ecad,NRF2,KEAP1",5
"ZEB,miR200;Ecad,ZEB;Ecad,NRF2;KEAP1,NRF2;miR200,KEAP1","N","miR200,ZEB,Ecad,NRF2,KEAP1",5
"ZEB,ZEB","P","ZEB",1
"SNAIL,miR200;SNAIL,ZEB;ZEB,miR200","P","miR200,SNAIL,ZEB",3
"SNAIL,miR200;SNAIL,ZEB;miR200,ZEB","P","miR200,SNAIL,ZEB",3
"miR34,SNAIL;SNAIL,ZEB;ZEB,miR34","P","miR34,SNAIL,ZEB",3
"SNAIL,miR34;SNAIL,ZEB;ZEB,miR34","P","miR34,SNAIL,ZEB",3
"SNAIL,SNAIL","N","SNAIL",1
"OVOL2,miR200;OVOL2,ZEB;ZEB,miR200","N","miR200,OVOL2,ZEB",3
"OVOL2,miR200;ZEB,OVOL2;ZEB,miR200","N","miR200,OVOL2,ZEB",3
"OVOL2,miR200;OVOL2,ZEB;miR200,ZEB","N","miR200,OVOL2,ZEB",3
"OVOL2,miR200;ZEB,OVOL2;miR200,ZEB","N","miR200,OVOL2,ZEB",3
"OVOL2,OVOL2","N","OVOL2",1
