Cycles,Edge_count
SNAIL,1
"ZEB,miR34,SNAIL",3
"miR200,ZEB,SNAIL,NRF2,KEAP1",5
"Ecad,ZEB,SNAIL,NRF2",4
ZEB,1
"miR200,OVOL2,ZEB",3
OVOL2,1
