"EdgeList","Nature","Cycles","Edge_count"
"SNAIL,miR200;NRF2,SNAIL;KEAP1,NRF2;miR200,KEAP1","P","miR200,SNAIL,NRF2,KEAP1",4
"ZEB,miR34;miR34,SNAIL;SNAIL,ZEB","P","ZEB,miR34,SNAIL",3
"ZEB,miR34;SNAIL,miR34;SNAIL,ZEB","P","ZEB,miR34,SNAIL",3
"miR200,ZEB;SNAIL,ZEB;SNAIL,miR200","P","miR200,ZEB,SNAIL",3
"ZEB,miR200;SNAIL,ZEB;SNAIL,miR200","P","miR200,ZEB,SNAIL",3
"Ecad,ZEB;SNAIL,ZEB;NRF2,SNAIL;Ecad,NRF2","N","Ecad,ZEB,SNAIL,NRF2",4
"ZEB,Ecad;SNAIL,ZEB;NRF2,SNAIL;Ecad,NRF2","N","Ecad,ZEB,SNAIL,NRF2",4
"ZEB,ZEB","P","ZEB",1
"OVOL2,miR200;OVOL2,ZEB;ZEB,miR200","N","miR200,OVOL2,ZEB",3
"OVOL2,miR200;ZEB,OVOL2;ZEB,miR200","N","miR200,OVOL2,ZEB",3
"OVOL2,miR200;OVOL2,ZEB;miR200,ZEB","N","miR200,OVOL2,ZEB",3
"OVOL2,miR200;ZEB,OVOL2;miR200,ZEB","N","miR200,OVOL2,ZEB",3
"OVOL2,OVOL2","N","OVOL2",1
