Cycles,Edge_count
"ZEB,SNAIL,miR200",3
SNAIL,1
"ZEB,miR34,SNAIL",3
"ZEB,Ecad,NRF2,SNAIL",4
"ZEB,OVOL2,miR200",3
OVOL2,1
ZEB,1
