"EdgeList","Nature","Cycles","Edge_count"
"SNAIL,miR200;NRF2,SNAIL;KEAP1,NRF2;miR200,KEAP1","P","miR200,SNAIL,NRF2,KEAP1",4
"SNAIL,SNAIL","N","SNAIL",1
"miR200,ZEB;ZEB,miR34;miR34,SNAIL;SNAIL,miR200","P","miR200,ZEB,miR34,SNAIL",4
"ZEB,miR200;ZEB,miR34;miR34,SNAIL;SNAIL,miR200","P","miR200,ZEB,miR34,SNAIL",4
"miR200,ZEB;ZEB,miR34;SNAIL,miR34;SNAIL,miR200","P","miR200,ZEB,miR34,SNAIL",4
"ZEB,miR200;ZEB,miR34;SNAIL,miR34;SNAIL,miR200","P","miR200,ZEB,miR34,SNAIL",4
"Ecad,ZEB;ZEB,miR34;miR34,SNAIL;NRF2,SNAIL;Ecad,NRF2","N","Ecad,ZEB,miR34,SNAIL,NRF2",5
"ZEB,Ecad;ZEB,miR34;miR34,SNAIL;NRF2,SNAIL;Ecad,NRF2","N","Ecad,ZEB,miR34,SNAIL,NRF2",5
"Ecad,ZEB;ZEB,miR34;SNAIL,miR34;NRF2,SNAIL;Ecad,NRF2","N","Ecad,ZEB,miR34,SNAIL,NRF2",5
"ZEB,Ecad;ZEB,miR34;SNAIL,miR34;NRF2,SNAIL;Ecad,NRF2","N","Ecad,ZEB,miR34,SNAIL,NRF2",5
"ZEB,ZEB","P","ZEB",1
"OVOL2,miR200;OVOL2,ZEB;ZEB,miR200","N","miR200,OVOL2,ZEB",3
"OVOL2,miR200;ZEB,OVOL2;ZEB,miR200","N","miR200,OVOL2,ZEB",3
"OVOL2,miR200;OVOL2,ZEB;miR200,ZEB","N","miR200,OVOL2,ZEB",3
"OVOL2,miR200;ZEB,OVOL2;miR200,ZEB","N","miR200,OVOL2,ZEB",3
"OVOL2,OVOL2","N","OVOL2",1
