"","Ecad","GRHL2","Iext","KEAP1","NRF2","OVOL2","SNAIL","ZEB","miR200","miR34"
"Ecad",1,1,-0.0185104489594102,-0.0263130772873819,-0.438518804374905,1,-0.0263130772873819,-1,0.0263130772873819,0.43731795235686
"GRHL2",1,1,-0.0185104489594102,-0.0263130772873819,-0.438518804374905,1,-0.0263130772873819,-1,0.0263130772873819,0.43731795235686
"Iext",-0.0185104489594102,-0.0185104489594102,1,0.57198660980197,-0.107152539692242,-0.0185104489594102,0.57198660980197,0.0185104489594102,-0.57198660980197,-0.16098438324557
"KEAP1",-0.0263130772873819,-0.0263130772873819,0.57198660980197,1,-0.535167893520426,-0.0263130772873819,1,0.0263130772873819,-1,-0.58899609240402
"NRF2",-0.438518804374905,-0.438518804374905,-0.107152539692242,-0.535167893520426,1,-0.438518804374905,-0.535167893520426,0.438518804374905,0.535167893520426,0.124164772032945
"OVOL2",1,1,-0.0185104489594102,-0.0263130772873819,-0.438518804374905,1,-0.0263130772873819,-1,0.0263130772873819,0.43731795235686
"SNAIL",-0.0263130772873819,-0.0263130772873819,0.57198660980197,1,-0.535167893520426,-0.0263130772873819,1,0.0263130772873819,-1,-0.58899609240402
"ZEB",-1,-1,0.0185104489594102,0.0263130772873819,0.438518804374905,-1,0.0263130772873819,1,-0.0263130772873819,-0.43731795235686
"miR200",0.0263130772873819,0.0263130772873819,-0.57198660980197,-1,0.535167893520426,0.0263130772873819,-1,-0.0263130772873819,1,0.58899609240402
"miR34",0.43731795235686,0.43731795235686,-0.16098438324557,-0.58899609240402,0.124164772032945,0.43731795235686,-0.58899609240402,-0.43731795235686,0.58899609240402,1
