"","Ecad","GRHL2","Iext","KEAP1","NRF2","OVOL2","SNAIL","ZEB","miR200","miR34"
"Ecad",1,1,-0.0396215054636152,-0.0772451427334474,-0.385827669586803,1,-0.0772451427334474,-1,0.0772451427334474,0.472279295074226
"GRHL2",1,1,-0.0396215054636152,-0.0772451427334474,-0.385827669586803,1,-0.0772451427334474,-1,0.0772451427334474,0.472279295074226
"Iext",-0.0396215054636152,-0.0396215054636152,1,0.565739228110314,-0.102664598898493,-0.0396215054636152,0.565739228110314,0.0396215054636152,-0.565739228110314,-0.170700090655706
"KEAP1",-0.0772451427334474,-0.0772451427334474,0.565739228110314,1,-0.536925628919468,-0.0772451427334474,1,0.0772451427334474,-1,-0.604964545265269
"NRF2",-0.385827669586803,-0.385827669586803,-0.102664598898493,-0.536925628919468,1,-0.385827669586803,-0.536925628919468,0.385827669586803,0.536925628919468,0.141895283018522
"OVOL2",1,1,-0.0396215054636152,-0.0772451427334474,-0.385827669586803,1,-0.0772451427334474,-1,0.0772451427334474,0.472279295074226
"SNAIL",-0.0772451427334474,-0.0772451427334474,0.565739228110314,1,-0.536925628919468,-0.0772451427334474,1,0.0772451427334474,-1,-0.604964545265269
"ZEB",-1,-1,0.0396215054636152,0.0772451427334474,0.385827669586803,-1,0.0772451427334474,1,-0.0772451427334474,-0.472279295074226
"miR200",0.0772451427334474,0.0772451427334474,-0.565739228110314,-1,0.536925628919468,0.0772451427334474,-1,-0.0772451427334474,1,0.604964545265269
"miR34",0.472279295074226,0.472279295074226,-0.170700090655706,-0.604964545265269,0.141895283018522,0.472279295074226,-0.604964545265269,-0.472279295074226,0.604964545265269,1
