"","Ecad","GRHL2","Iext","KEAP1","NRF2","OVOL2","SNAIL","ZEB","miR200","miR34"
"Ecad",1,1,-0.063143116134373,-0.134995208286942,-0.327329108080742,1,-0.134995208286942,-1,0.134995208286942,0.512261968827995
"GRHL2",1,1,-0.063143116134373,-0.134995208286942,-0.327329108080742,1,-0.134995208286942,-1,0.134995208286942,0.512261968827995
"Iext",-0.063143116134373,-0.063143116134373,1,0.563895100361497,-0.10157133956112,-0.063143116134373,0.563895100361497,0.063143116134373,-0.563895100361497,-0.186631756438101
"KEAP1",-0.134995208286942,-0.134995208286942,0.563895100361497,1,-0.537676331793979,-0.134995208286942,1,0.134995208286942,-1,-0.62273607960608
"NRF2",-0.327329108080742,-0.327329108080742,-0.10157133956112,-0.537676331793979,1,-0.327329108080742,-0.537676331793979,0.327329108080742,0.537676331793979,0.160412041022299
"OVOL2",1,1,-0.063143116134373,-0.134995208286942,-0.327329108080742,1,-0.134995208286942,-1,0.134995208286942,0.512261968827995
"SNAIL",-0.134995208286942,-0.134995208286942,0.563895100361497,1,-0.537676331793979,-0.134995208286942,1,0.134995208286942,-1,-0.62273607960608
"ZEB",-1,-1,0.063143116134373,0.134995208286942,0.327329108080742,-1,0.134995208286942,1,-0.134995208286942,-0.512261968827995
"miR200",0.134995208286942,0.134995208286942,-0.563895100361497,-1,0.537676331793979,0.134995208286942,-1,-0.134995208286942,1,0.62273607960608
"miR34",0.512261968827995,0.512261968827995,-0.186631756438101,-0.62273607960608,0.160412041022299,0.512261968827995,-0.62273607960608,-0.512261968827995,0.62273607960608,1
