"","Ecad","GRHL2","Iext","KEAP1","NRF2","OVOL2","SNAIL","ZEB","miR200","miR34"
"Ecad",1,1,-0.00320100349163771,-0.00440148488515745,-0.426571688677588,1,-0.00440148488515745,-1,0.00440148488515745,0.402761081362103
"GRHL2",1,1,-0.00320100349163771,-0.00440148488515745,-0.426571688677588,1,-0.00440148488515745,-1,0.00440148488515745,0.402761081362103
"Iext",-0.00320100349163771,-0.00320100349163771,1,0.561423709530301,-0.13044999829666,-0.00320100349163771,0.561423709530301,0.00320100349163771,-0.561423709530301,-0.163064317347235
"KEAP1",-0.00440148488515745,-0.00440148488515745,0.561423709530301,1,-0.569026569680691,-0.00440148488515745,1,0.00440148488515745,-1,-0.601640318124594
"NRF2",-0.426571688677588,-0.426571688677588,-0.13044999829666,-0.569026569680691,1,-0.426571688677588,-0.569026569680691,0.426571688677588,0.569026569680691,0.170667157513696
"OVOL2",1,1,-0.00320100349163771,-0.00440148488515745,-0.426571688677588,1,-0.00440148488515745,-1,0.00440148488515745,0.402761081362103
"SNAIL",-0.00440148488515745,-0.00440148488515745,0.561423709530301,1,-0.569026569680691,-0.00440148488515745,1,0.00440148488515745,-1,-0.601640318124594
"ZEB",-1,-1,0.00320100349163771,0.00440148488515745,0.426571688677588,-1,0.00440148488515745,1,-0.00440148488515745,-0.402761081362103
"miR200",0.00440148488515745,0.00440148488515745,-0.561423709530301,-1,0.569026569680691,0.00440148488515745,-1,-0.00440148488515745,1,0.601640318124594
"miR34",0.402761081362103,0.402761081362103,-0.163064317347235,-0.601640318124594,0.170667157513696,0.402761081362103,-0.601640318124594,-0.402761081362103,0.601640318124594,1
