"","Ecad","GRHL2","Iext","KEAP1","NRF2","OVOL2","SNAIL","ZEB","miR200","miR34"
"Ecad",1,1,-0.0499290808085148,-0.130572662468581,-0.314254135125901,1,-0.130572662468581,-1,0.130572662468581,0.499554112935794
"GRHL2",1,1,-0.0499290808085148,-0.130572662468581,-0.314254135125901,1,-0.130572662468581,-1,0.130572662468581,0.499554112935794
"Iext",-0.0499290808085148,-0.0499290808085148,1,0.562778218294,-0.11795350594518,-0.0499290808085148,0.562778218294,0.0499290808085148,-0.562778218294,-0.193793777946193
"KEAP1",-0.130572662468581,-0.130572662468581,0.562778218294,1,-0.555173418397047,-0.130572662468581,1,0.130572662468581,-1,-0.631014447813183
"NRF2",-0.314254135125901,-0.314254135125901,-0.11795350594518,-0.555173418397047,1,-0.314254135125901,-0.555173418397047,0.314254135125901,0.555173418397047,0.186189450608
"OVOL2",1,1,-0.0499290808085148,-0.130572662468581,-0.314254135125901,1,-0.130572662468581,-1,0.130572662468581,0.499554112935794
"SNAIL",-0.130572662468581,-0.130572662468581,0.562778218294,1,-0.555173418397047,-0.130572662468581,1,0.130572662468581,-1,-0.631014447813183
"ZEB",-1,-1,0.0499290808085148,0.130572662468581,0.314254135125901,-1,0.130572662468581,1,-0.130572662468581,-0.499554112935794
"miR200",0.130572662468581,0.130572662468581,-0.562778218294,-1,0.555173418397047,0.130572662468581,-1,-0.130572662468581,1,0.631014447813183
"miR34",0.499554112935794,0.499554112935794,-0.193793777946193,-0.631014447813183,0.186189450608,0.499554112935794,-0.631014447813183,-0.499554112935794,0.631014447813183,1
