"","Ecad","GRHL2","Iext","KEAP1","NRF2","OVOL2","SNAIL","ZEB","miR200","miR34"
"Ecad",1,1,-0.0100027311016629,-0.037827251635448,-0.406435510255853,1,-0.037827251635448,-1,0.037827251635448,0.440057291896891
"GRHL2",1,1,-0.0100027311016629,-0.037827251635448,-0.406435510255853,1,-0.037827251635448,-1,0.037827251635448,0.440057291896891
"Iext",-0.0100027311016629,-0.0100027311016629,1,0.563139146019239,-0.118874772069449,-0.0100027311016629,0.563139146019239,0.0100027311016629,-0.563139146019239,-0.160894911486496
"KEAP1",-0.037827251635448,-0.037827251635448,0.563139146019239,1,-0.555733530186478,-0.037827251635448,1,0.037827251635448,-1,-0.597764651214227
"NRF2",-0.406435510255853,-0.406435510255853,-0.118874772069449,-0.555733530186478,1,-0.406435510255853,-0.555733530186478,0.406435510255853,0.555733530186478,0.153503887423598
"OVOL2",1,1,-0.0100027311016629,-0.037827251635448,-0.406435510255853,1,-0.037827251635448,-1,0.037827251635448,0.440057291896891
"SNAIL",-0.037827251635448,-0.037827251635448,0.563139146019239,1,-0.555733530186478,-0.037827251635448,1,0.037827251635448,-1,-0.597764651214227
"ZEB",-1,-1,0.0100027311016629,0.037827251635448,0.406435510255853,-1,0.037827251635448,1,-0.037827251635448,-0.440057291896891
"miR200",0.037827251635448,0.037827251635448,-0.563139146019239,-1,0.555733530186478,0.037827251635448,-1,-0.037827251635448,1,0.597764651214227
"miR34",0.440057291896891,0.440057291896891,-0.160894911486496,-0.597764651214227,0.153503887423598,0.440057291896891,-0.597764651214227,-0.440057291896891,0.597764651214227,1
