"","Ecad","GRHL2","Iext","KEAP1","NRF2","OVOL2","SNAIL","ZEB","miR200","miR34"
"Ecad",1,-1,0.0398225516632584,0.420654789424742,-0.641986433110496,-1,0.420654789424742,1,-0.420654789424742,-0.570743005467499
"GRHL2",-1,1,-0.0398225516632584,-0.420654789424742,0.641986433110496,1,-0.420654789424742,-1,0.420654789424742,0.570743005467499
"Iext",0.0398225516632584,-0.0398225516632584,1,0.419453384791671,-0.198119386850503,-0.0398225516632584,0.419453384791671,0.0398225516632584,-0.419453384791671,-0.269361751812854
"KEAP1",0.420654789424742,-0.420654789424742,0.419453384791671,1,-0.778667343425902,-0.420654789424742,1,0.420654789424742,-1,-0.849910558638388
"NRF2",-0.641986433110496,0.641986433110496,-0.198119386850503,-0.778667343425902,1,0.641986433110496,-0.778667343425902,-0.641986433110496,0.778667343425902,0.628577196634348
"OVOL2",-1,1,-0.0398225516632584,-0.420654789424742,0.641986433110496,1,-0.420654789424742,-1,0.420654789424742,0.570743005467499
"SNAIL",0.420654789424742,-0.420654789424742,0.419453384791671,1,-0.778667343425902,-0.420654789424742,1,0.420654789424742,-1,-0.849910558638388
"ZEB",1,-1,0.0398225516632584,0.420654789424742,-0.641986433110496,-1,0.420654789424742,1,-0.420654789424742,-0.570743005467499
"miR200",-0.420654789424742,0.420654789424742,-0.419453384791671,-1,0.778667343425902,0.420654789424742,-1,-0.420654789424742,1,0.849910558638388
"miR34",-0.570743005467499,0.570743005467499,-0.269361751812854,-0.849910558638388,0.628577196634348,0.570743005467499,-0.849910558638388,-0.570743005467499,0.849910558638388,1
