,states,coherence
0,'0000100111',0.502
1,'1111011000',0.505
2,'0010100111',0.505
3,'1101011000',0.513
4,'1100010011',0.793
5,'0011101100',0.789
6,'1111111000',0.412
7,'0000000111',0.415
8,'1111011001',0.7
9,'0000100110',0.7
