"","Ecad","GRHL2","Iext","KEAP1","NRF2","OVOL2","SNAIL","ZEB","miR200","miR34"
"Ecad",1,1,-0.0281192660936485,-1,-0.218252630031522,-1,-0.0951661484399476,-1,1,0.469228758413618
"GRHL2",1,1,-0.0281192660936485,-1,-0.218252630031522,-1,-0.0951661484399476,-1,1,0.469228758413618
"Iext",-0.0281192660936485,-0.0281192660936485,1,0.0281192660936485,-0.00870715768305846,0.0281192660936485,0.556288105584699,0.0281192660936485,-0.0281192660936485,-0.18222523996558
"KEAP1",-1,-1,0.0281192660936485,1,0.218252630031522,1,0.0951661484399476,1,-1,-0.469228758413618
"NRF2",-0.218252630031522,-0.218252630031522,-0.00870715768305846,0.218252630031522,1,0.218252630031522,-0.452421582814296,0.218252630031522,-0.218252630031522,0.0783563411135466
"OVOL2",-1,-1,0.0281192660936485,1,0.218252630031522,1,0.0951661484399476,1,-1,-0.469228758413618
"SNAIL",-0.0951661484399476,-0.0951661484399476,0.556288105584699,0.0951661484399476,-0.452421582814296,0.0951661484399476,1,0.0951661484399476,-0.0951661484399476,-0.625936422325623
"ZEB",-1,-1,0.0281192660936485,1,0.218252630031522,1,0.0951661484399476,1,-1,-0.469228758413618
"miR200",1,1,-0.0281192660936485,-1,-0.218252630031522,-1,-0.0951661484399476,-1,1,0.469228758413618
"miR34",0.469228758413618,0.469228758413618,-0.18222523996558,-0.469228758413618,0.0783563411135466,-0.469228758413618,-0.625936422325623,-0.469228758413618,0.469228758413618,1
