,states,coherence
0,'0101001100',0.46
1,'0001001100',0.466
2,'0100100111',0.464
3,'1101011000',0.512
4,'1010110011',0.456
5,'0000100111',0.548
6,'0111001100',0.518
7,'1100110011',0.532
8,'1011011000',0.462
9,'0010100111',0.508
10,'1111011000',0.544
11,'1110110011',0.499
12,'0110100111',0.423
13,'0011001100',0.529
14,'1000110011',0.504
15,'1001011000',0.432
16,'0000100110',0.579
17,'1000010011',0.529
18,'0111101100',0.53
19,'1100010011',0.545
20,'0100100110',0.507
21,'0011101100',0.556
22,'1111011001',0.591
23,'1011011001',0.5
