"","Ecad","GRHL2","Iext","KEAP1","NRF2","OVOL2","SNAIL","ZEB","miR200","miR34"
"Ecad",1,1,-0.0459229938092105,-0.0903454249289596,-0.374487237360423,1,-0.0903454249289596,-1,0.0903454249289596,0.484943540052762
"GRHL2",1,1,-0.0459229938092105,-0.0903454249289596,-0.374487237360423,1,-0.0903454249289596,-1,0.0903454249289596,0.484943540052762
"Iext",-0.0459229938092105,-0.0459229938092105,1,0.568184307036931,-0.10335165098065,-0.0459229938092105,0.568184307036931,0.0459229938092105,-0.568184307036931,-0.173586544283023
"KEAP1",-0.0903454249289596,-0.0903454249289596,0.568184307036931,1,-0.535168038987198,-0.0903454249289596,1,0.0903454249289596,-1,-0.605401624100593
"NRF2",-0.374487237360423,-0.374487237360423,-0.10335165098065,-0.535168038987198,1,-0.374487237360423,-0.535168038987198,0.374487237360423,0.535168038987198,0.140570349639613
"OVOL2",1,1,-0.0459229938092105,-0.0903454249289596,-0.374487237360423,1,-0.0903454249289596,-1,0.0903454249289596,0.484943540052762
"SNAIL",-0.0903454249289596,-0.0903454249289596,0.568184307036931,1,-0.535168038987198,-0.0903454249289596,1,0.0903454249289596,-1,-0.605401624100593
"ZEB",-1,-1,0.0459229938092105,0.0903454249289596,0.374487237360423,-1,0.0903454249289596,1,-0.0903454249289596,-0.484943540052762
"miR200",0.0903454249289596,0.0903454249289596,-0.568184307036931,-1,0.535168038987198,0.0903454249289596,-1,-0.0903454249289596,1,0.605401624100593
"miR34",0.484943540052762,0.484943540052762,-0.173586544283023,-0.605401624100593,0.140570349639613,0.484943540052762,-0.605401624100593,-0.484943540052762,0.605401624100593,1
