,states,coherence
0,'1100011000',0.503
1,'1110011000',0.499
2,'0001100111',0.489
3,'0011100111',0.502
4,'1110011001',0.7
5,'0001100110',0.7
6,'1101010011',0.802
7,'0010101100',0.798
8,'0001000111',0.421
9,'1110111000',0.429
