"","Ecad","GRHL2","Iext","KEAP1","NRF2","OVOL2","SNAIL","ZEB","miR200","miR34"
"Ecad",1,1,-0.0106046481724912,-0.1888767400485,-0.860744545504539,1,0.1888767400485,-1,0.1888767400485,0.443176378135732
"GRHL2",1,1,-0.0106046481724912,-0.1888767400485,-0.860744545504539,1,0.1888767400485,-1,0.1888767400485,0.443176378135732
"Iext",-0.0106046481724912,-0.0106046481724912,1,-0.800521073077383,0.14986003903963,-0.0106046481724912,0.800521073077383,0.0106046481724912,0.800521073077383,-0.168468538290537
"KEAP1",-0.1888767400485,-0.1888767400485,-0.800521073077383,1,0.0496200739223702,-0.1888767400485,-1,0.1888767400485,-1,0.367946097872581
"NRF2",-0.860744545504539,-0.860744545504539,0.14986003903963,0.0496200739223702,1,-0.860744545504539,-0.0496200739223702,0.860744545504539,-0.0496200739223702,-0.582433750328181
"OVOL2",1,1,-0.0106046481724912,-0.1888767400485,-0.860744545504539,1,0.1888767400485,-1,0.1888767400485,0.443176378135732
"SNAIL",0.1888767400485,0.1888767400485,0.800521073077383,-1,-0.0496200739223702,0.1888767400485,1,-0.1888767400485,1,-0.367946097872581
"ZEB",-1,-1,0.0106046481724912,0.1888767400485,0.860744545504539,-1,-0.1888767400485,1,-0.1888767400485,-0.443176378135732
"miR200",0.1888767400485,0.1888767400485,0.800521073077383,-1,-0.0496200739223702,0.1888767400485,1,-0.1888767400485,1,-0.367946097872581
"miR34",0.443176378135732,0.443176378135732,-0.168468538290537,0.367946097872581,-0.582433750328181,0.443176378135732,-0.367946097872581,-0.443176378135732,-0.367946097872581,1
