,states,coherence
0,'1100110011',0.527
1,'0001001100',0.487
2,'0000100111',0.545
3,'1110110011',0.486
4,'0011001100',0.53
5,'1101011000',0.514
6,'1111011000',0.554
7,'0010100111',0.511
8,'0000100110',0.587
9,'1100010011',0.557
10,'0011011100',0.528
11,'0011101100',0.536
12,'0011111100',0.541
13,'1110101010',0.355
14,'1110001011',0.444
15,'0001110101',0.391
16,'0001110100',0.441
17,'1111011001',0.585
18,'0001010101',0.354
19,'1100000011',0.538
20,'1100100011',0.53
21,'1110001010',0.394
22,'1110100011',0.501
23,'0011110101',0.382
24,'1100001010',0.395
25,'0001011100',0.504
