"","Ecad","GRHL2","Iext","KEAP1","NRF2","OVOL2","SNAIL","ZEB","miR200","miR34"
"Ecad",1,1,-0.0758464662155204,-0.157693759514321,-0.314389262714277,1,-0.157693759514321,-1,0.157693759514321,0.525714458036196
"GRHL2",1,1,-0.0758464662155204,-0.157693759514321,-0.314389262714277,1,-0.157693759514321,-1,0.157693759514321,0.525714458036196
"Iext",-0.0758464662155204,-0.0758464662155204,1,0.564338990354529,-0.0922553606012208,-0.0758464662155204,0.564338990354529,0.0758464662155205,-0.564338990354529,-0.196318428494342
"KEAP1",-0.157693759514321,-0.157693759514321,0.564338990354529,1,-0.527916845189203,-0.157693759514321,1,0.157693759514321,-1,-0.631979036112106
"NRF2",-0.314389262714277,-0.314389262714277,-0.0922553606012208,-0.527916845189203,1,-0.314389262714277,-0.527916845189203,0.314389262714277,0.527916845189203,0.159896052826012
"OVOL2",1,1,-0.0758464662155204,-0.157693759514321,-0.314389262714277,1,-0.157693759514321,-1,0.157693759514321,0.525714458036196
"SNAIL",-0.157693759514321,-0.157693759514321,0.564338990354529,1,-0.527916845189203,-0.157693759514321,1,0.157693759514321,-1,-0.631979036112106
"ZEB",-1,-1,0.0758464662155205,0.157693759514321,0.314389262714277,-1,0.157693759514321,1,-0.157693759514321,-0.525714458036196
"miR200",0.157693759514321,0.157693759514321,-0.564338990354529,-1,0.527916845189203,0.157693759514321,-1,-0.157693759514321,1,0.631979036112106
"miR34",0.525714458036196,0.525714458036196,-0.196318428494342,-0.631979036112106,0.159896052826012,0.525714458036196,-0.631979036112106,-0.525714458036196,0.631979036112106,1
