"Network","JSD0","JSDAll","MinCoh","MeanCoh","MaxCoh"
"Ecad-NRF2_2-0",0.165552420110717,0.165552420110717,"0.511","0.6572","0.847"
"Ecad-NRF2_2-1",0.285541701742081,0.285541701742081,"0.413","0.5695","0.843"
"Ecad-ZEB_2-0",0.00212722389402609,0.00212722389402609,"0.531","0.595666666666667","0.658"
"Ecad-ZEB_2-1",0.00201587935873946,0.00201587935873946,"0.528","0.587583333333333","0.626"
"GRHL2-ZEB_2-0",0.000645936839726779,0.000645936839726779,"0.514","0.593","0.664"
"GRHL2-ZEB_2-1",0.000357078754370304,0.000357078754370304,"0.518","0.5875","0.651"
"Iext-SNAIL_2-1",0.447737069791173,0.447737069791173,"0.566","0.629583333333333","0.689"
"KEAP1-NRF2_2-0",0.174304032457392,0.174304032457392,"0.573","0.68575","0.809"
"KEAP1-NRF2_2-1",0.206702951660334,0.206702951660334,"0.412","0.5834","0.793"
"miR200-KEAP1_2-0",0.236865545072302,0.236865545072302,"0.396","0.531363636363636","0.699"
"miR200-KEAP1_2-1",1,1,"0.421","0.5843","0.802"
"miR200-ZEB_2-0",0.000208283538436143,0.000208283538436143,"0.574","0.6445","0.706"
"miR200-ZEB_2-1",0.000294175310760751,0.000294175310760751,"0.539","0.636333333333333","0.715"
"miR34-SNAIL_2-0",0.242689562997642,0.278081516010243,"0.611","0.644333333333333","0.7"
"miR34-SNAIL_2-1",0.412254902933349,0.412254902933349,"0.606","0.678625","0.79"
"NRF2-SNAIL_2-0",0.219689840485509,0.25684600068695,"0.589","0.6465","0.689"
"NRF2-SNAIL_2-1",0.386474063147436,0.386474063147436,"0.563","0.67325","0.795"
"OVOL2-miR200_2-0",0.203903756371014,0.203903756371014,"0.41","0.5145","0.658"
"OVOL2-miR200_2-1",0.471949781461597,0.471949781461597,"0.446","0.569285714285714","0.666"
"OVOL2-OVOL2_2-0",9.43849775013084e-06,9.43849775013084e-06,"0.563","0.630333333333333","0.687"
"OVOL2-OVOL2_2-1",0.278262537194611,0.278262537194611,"0.354","0.489115384615385","0.587"
"OVOL2-ZEB_2-0",0.00207030458731214,0.00207030458731214,"0.516","0.591583333333333","0.662"
"OVOL2-ZEB_2-1",0.00163663020450247,0.00163663020450247,"0.504","0.583916666666667","0.647"
"SNAIL-miR200_2-0",0.260478445079279,0.260478445079279,"0.414","0.502227272727273","0.639"
"SNAIL-miR200_2-1",1,1,"0.464","0.6006","0.774"
"SNAIL-miR34_2-0",0.16226209337108,0.16226209337108,"0.568","0.67025","0.792"
"SNAIL-miR34_2-1",0.207662453245708,0.207662453245708,"0.494","0.6109","0.789"
"SNAIL-SNAIL_2-0",2.09978459288933e-05,2.09978459288933e-05,"0.549","0.628","0.689"
"SNAIL-SNAIL_2-1",0.108746491188933,0.108746491188933,"0.544","0.587625","0.656"
"SNAIL-ZEB_1-0",0.000340941126998557,0.000340941126998557,"0.555","0.6395","0.709"
"SNAIL-ZEB_1-2",0.00110090333035557,0.00110090333035557,"0.562","0.633916666666667","0.712"
"wild",0,0,"0.568","0.6315","0.692"
"ZEB-Ecad_2-0",0.266902747235142,0.266902747235142,"0.232","0.4835","0.735"
"ZEB-Ecad_2-1",1,1,"0.332","0.517083333333333","0.84"
"ZEB-GRHL2_2-0",0.263618201075401,0.263618201075401,"0.423","0.508083333333333","0.591"
"ZEB-GRHL2_2-1",1,1,"0.514","0.585083333333333","0.642"
"ZEB-miR200_2-0",0.110481753555555,0.110481753555555,"0.475","0.588571428571429","0.7"
"ZEB-miR200_2-1",0.470056138500855,0.470056138500855,"0.608","0.686875","0.789"
"ZEB-miR34_2-0",0.134695027135344,0.134695027135344,"0.542","0.6455","0.8"
"ZEB-miR34_2-1",0.228242452548613,0.228242452548613,"0.481","0.592583333333333","0.8"
"ZEB-OVOL2_2-1",1,1,"0.435","0.560428571428571","0.667"
"ZEB-ZEB_1-0",0.00296366396289332,0.00296366396289332,"0.484","0.586083333333333","0.668"
"ZEB-ZEB_1-2",0.00303480215828545,0.00303480215828545,"0.504","0.5875","0.661"
