"","Ecad","GRHL2","Iext","KEAP1","NRF2","OVOL2","SNAIL","ZEB","miR200","miR34"
"Ecad",1,1,-0.010599256429171,-0.310719273954825,-0.337534717663281,1,-0.310719273954825,-1,0.310719273954825,1
"GRHL2",1,1,-0.010599256429171,-0.310719273954825,-0.337534717663281,1,-0.310719273954825,-1,0.310719273954825,1
"Iext",-0.010599256429171,-0.010599256429171,1,0.699878770430678,-0.0516218221175359,-0.010599256429171,0.699878770430678,0.010599256429171,-0.699878770430678,-0.010599256429171
"KEAP1",-0.310719273954825,-0.310719273954825,0.699878770430678,1,-0.35174351073833,-0.310719273954825,1,0.310719273954825,-1,-0.310719273954825
"NRF2",-0.337534717663281,-0.337534717663281,-0.0516218221175359,-0.35174351073833,1,-0.337534717663281,-0.35174351073833,0.337534717663281,0.35174351073833,-0.337534717663281
"OVOL2",1,1,-0.010599256429171,-0.310719273954825,-0.337534717663281,1,-0.310719273954825,-1,0.310719273954825,1
"SNAIL",-0.310719273954825,-0.310719273954825,0.699878770430678,1,-0.35174351073833,-0.310719273954825,1,0.310719273954825,-1,-0.310719273954825
"ZEB",-1,-1,0.010599256429171,0.310719273954825,0.337534717663281,-1,0.310719273954825,1,-0.310719273954825,-1
"miR200",0.310719273954825,0.310719273954825,-0.699878770430678,-1,0.35174351073833,0.310719273954825,-1,-0.310719273954825,1,0.310719273954825
"miR34",1,1,-0.010599256429171,-0.310719273954825,-0.337534717663281,1,-0.310719273954825,-1,0.310719273954825,1
