"","Ecad","GRHL2","Iext","KEAP1","NRF2","OVOL2","SNAIL","ZEB","miR200","miR34"
"Ecad",1,1,-0.0114063726660055,-0.0364226067963686,-0.408243959798678,1,-0.0364226067963686,-1,0.0364226067963686,0.438465151724433
"GRHL2",1,1,-0.0114063726660055,-0.0364226067963686,-0.408243959798678,1,-0.0364226067963686,-1,0.0364226067963686,0.438465151724433
"Iext",-0.0114063726660055,-0.0114063726660055,1,0.565539711099351,-0.120873212466257,-0.0114063726660055,0.565539711099351,0.0114063726660055,-0.565539711099351,-0.163498710391936
"KEAP1",-0.0364226067963686,-0.0364226067963686,0.565539711099351,1,-0.555333003871226,-0.0364226067963686,1,0.0364226067963686,-1,-0.597958593209579
"NRF2",-0.408243959798678,-0.408243959798678,-0.120873212466257,-0.555333003871226,1,-0.408243959798678,-0.555333003871226,0.408243959798678,0.555333003871226,0.153290554074237
"OVOL2",1,1,-0.0114063726660055,-0.0364226067963686,-0.408243959798678,1,-0.0364226067963686,-1,0.0364226067963686,0.438465151724433
"SNAIL",-0.0364226067963686,-0.0364226067963686,0.565539711099351,1,-0.555333003871226,-0.0364226067963686,1,0.0364226067963686,-1,-0.597958593209579
"ZEB",-1,-1,0.0114063726660055,0.0364226067963686,0.408243959798678,-1,0.0364226067963686,1,-0.0364226067963686,-0.438465151724433
"miR200",0.0364226067963686,0.0364226067963686,-0.565539711099351,-1,0.555333003871226,0.0364226067963686,-1,-0.0364226067963686,1,0.597958593209579
"miR34",0.438465151724433,0.438465151724433,-0.163498710391936,-0.597958593209579,0.153290554074237,0.438465151724433,-0.597958593209579,-0.438465151724433,0.597958593209579,1
