"","Ecad","GRHL2","Iext","KEAP1","NRF2","OVOL2","SNAIL","ZEB","miR200","miR34"
"Ecad",1,1,-0.0129059121069463,0.0677329444214606,-0.44012043888232,1,0.0677329444214606,-1,-0.0677329444214606,-0.0677329444214606
"GRHL2",1,1,-0.0129059121069463,0.0677329444214606,-0.44012043888232,1,0.0677329444214606,-1,-0.0677329444214606,-0.0677329444214606
"Iext",-0.0129059121069463,-0.0129059121069463,1,0.525163310356104,-0.152776358024863,-0.0129059121069463,0.525163310356104,0.0129059121069463,-0.525163310356104,-0.525163310356104
"KEAP1",0.0677329444214606,0.0677329444214606,0.525163310356104,1,-0.627614154572888,0.0677329444214606,1,-0.0677329444214606,-1,-1
"NRF2",-0.44012043888232,-0.44012043888232,-0.152776358024863,-0.627614154572888,1,-0.44012043888232,-0.627614154572888,0.44012043888232,0.627614154572888,0.627614154572888
"OVOL2",1,1,-0.0129059121069463,0.0677329444214606,-0.44012043888232,1,0.0677329444214606,-1,-0.0677329444214606,-0.0677329444214606
"SNAIL",0.0677329444214606,0.0677329444214606,0.525163310356104,1,-0.627614154572888,0.0677329444214606,1,-0.0677329444214606,-1,-1
"ZEB",-1,-1,0.0129059121069463,-0.0677329444214606,0.44012043888232,-1,-0.0677329444214606,1,0.0677329444214606,0.0677329444214606
"miR200",-0.0677329444214606,-0.0677329444214606,-0.525163310356104,-1,0.627614154572888,-0.0677329444214606,-1,0.0677329444214606,1,1
"miR34",-0.0677329444214606,-0.0677329444214606,-0.525163310356104,-1,0.627614154572888,-0.0677329444214606,-1,0.0677329444214606,1,1
