,states,coherence
0,'0000100111',0.586
1,'1100110011',0.625
2,'1111011000',0.555
3,'1110110011',0.577
4,'0001001100',0.579
5,'0010100111',0.528
6,'0011001100',0.618
7,'1101011000',0.536
8,'0011101100',0.626
9,'1100010011',0.616
10,'1111011001',0.605
11,'0000100110',0.6
