"","Ecad","GRHL2","Iext","KEAP1","NRF2","OVOL2","SNAIL","ZEB","miR200","miR34"
"Ecad",1,1,-0.0142131489374267,-0.655455435579935,-0.260260366498668,1,-0.0642631813480396,-1,0.655455435579935,0.44824892259527
"GRHL2",1,1,-0.0142131489374267,-0.655455435579935,-0.260260366498668,1,-0.0642631813480396,-1,0.655455435579935,0.44824892259527
"Iext",-0.0142131489374267,-0.0142131489374267,1,0.186184205161395,-0.0252247636883742,-0.0142131489374267,0.557152589289501,0.0142131489374267,-0.186184205161396,-0.173166677815708
"KEAP1",-0.655455435579935,-0.655455435579935,0.186184205161395,1,-0.0842841277992268,-0.655455435579935,0.408808282638918,0.655455435579935,-1,-0.552952596293707
"NRF2",-0.260260366498668,-0.260260366498668,-0.0252247636883742,-0.0842841277992268,1,-0.260260366498668,-0.468071027929408,0.260260366498668,0.0842841277992269,0.0840838549170083
"OVOL2",1,1,-0.0142131489374267,-0.655455435579935,-0.260260366498668,1,-0.0642631813480396,-1,0.655455435579935,0.44824892259527
"SNAIL",-0.0642631813480396,-0.0642631813480396,0.557152589289501,0.408808282638918,-0.468071027929408,-0.0642631813480396,1,0.0642631813480396,-0.408808282638918,-0.616012151160148
"ZEB",-1,-1,0.0142131489374267,0.655455435579935,0.260260366498668,-1,0.0642631813480396,1,-0.655455435579935,-0.44824892259527
"miR200",0.655455435579935,0.655455435579935,-0.186184205161396,-1,0.0842841277992269,0.655455435579935,-0.408808282638918,-0.655455435579935,1,0.552952596293707
"miR34",0.44824892259527,0.44824892259527,-0.173166677815708,-0.552952596293707,0.0840838549170083,0.44824892259527,-0.616012151160148,-0.44824892259527,0.552952596293707,1
