"","Ecad","GRHL2","Iext","KEAP1","NRF2","OVOL2","SNAIL","ZEB","miR200","miR34"
"Ecad",1,1,-0.0417296333526119,-0.121384606881163,-0.313324875857666,1,-0.121384606881163,-1,0.121384606881163,0.491846919600775
"GRHL2",1,1,-0.0417296333526119,-0.121384606881163,-0.313324875857666,1,-0.121384606881163,-1,0.121384606881163,0.491846919600775
"Iext",-0.0417296333526119,-0.0417296333526119,1,0.560892682963369,-0.126188624835569,-0.0417296333526119,0.560892682963369,0.0417296333526119,-0.560892682963369,-0.190433282805283
"KEAP1",-0.121384606881163,-0.121384606881163,0.560892682963369,1,-0.565295918687718,-0.121384606881163,1,0.121384606881163,-1,-0.629540825339145
"NRF2",-0.313324875857666,-0.313324875857666,-0.126188624835569,-0.565295918687718,1,-0.313324875857666,-0.565295918687718,0.313324875857666,0.565295918687718,0.194837064379449
"OVOL2",1,1,-0.0417296333526119,-0.121384606881163,-0.313324875857666,1,-0.121384606881163,-1,0.121384606881163,0.491846919600775
"SNAIL",-0.121384606881163,-0.121384606881163,0.560892682963369,1,-0.565295918687718,-0.121384606881163,1,0.121384606881163,-1,-0.629540825339145
"ZEB",-1,-1,0.0417296333526119,0.121384606881163,0.313324875857666,-1,0.121384606881163,1,-0.121384606881163,-0.491846919600775
"miR200",0.121384606881163,0.121384606881163,-0.560892682963369,-1,0.565295918687718,0.121384606881163,-1,-0.121384606881163,1,0.629540825339145
"miR34",0.491846919600775,0.491846919600775,-0.190433282805283,-0.629540825339145,0.194837064379449,0.491846919600775,-0.629540825339145,-0.491846919600775,0.629540825339145,1
