,states,coherence
0,'0000100111',0.678
1,'1110110011',0.555
2,'1100110011',0.596
3,'0010100111',0.634
4,'0001001100',0.573
5,'1111011000',0.68
6,'0011001100',0.621
7,'1101011000',0.637
8,'0011101100',0.64
9,'1100010011',0.644
10,'1111011001',0.707
11,'0000100110',0.709
