"","Ecad","GRHL2","Iext","KEAP1","NRF2","OVOL2","SNAIL","ZEB","miR200","miR34"
"Ecad",1,1,-0.00880372615026264,0.640856355364402,-0.640856355364402,1,0.640856355364402,-1,-0.640856355364402,0.792316998520777
"GRHL2",1,1,-0.00880372615026264,0.640856355364402,-0.640856355364402,1,0.640856355364402,-1,-0.640856355364402,0.792316998520777
"Iext",-0.00880372615026264,-0.00880372615026264,1,0.350340311364842,-0.350340311364842,-0.00880372615026264,0.350340311364842,0.00880372615026264,-0.350340311364842,-0.21648650714088
"KEAP1",0.640856355364402,0.640856355364402,0.350340311364842,1,-1,0.640856355364402,1,-0.640856355364402,-1,0.433173277978124
"NRF2",-0.640856355364402,-0.640856355364402,-0.350340311364842,-1,1,-0.640856355364402,-1,0.640856355364402,1,-0.433173277978124
"OVOL2",1,1,-0.00880372615026264,0.640856355364402,-0.640856355364402,1,0.640856355364402,-1,-0.640856355364402,0.792316998520777
"SNAIL",0.640856355364402,0.640856355364402,0.350340311364842,1,-1,0.640856355364402,1,-0.640856355364402,-1,0.433173277978124
"ZEB",-1,-1,0.00880372615026264,-0.640856355364402,0.640856355364402,-1,-0.640856355364402,1,0.640856355364402,-0.792316998520777
"miR200",-0.640856355364402,-0.640856355364402,-0.350340311364842,-1,1,-0.640856355364402,-1,0.640856355364402,1,-0.433173277978124
"miR34",0.792316998520777,0.792316998520777,-0.21648650714088,0.433173277978124,-0.433173277978124,0.792316998520777,0.433173277978124,-0.792316998520777,-0.433173277978124,1
