"","Ecad","GRHL2","Iext","KEAP1","NRF2","OVOL2","SNAIL","ZEB","miR200","miR34"
"Ecad",1,1,-0.0101063010880052,0.227014845681508,-1,1,0.227014845681508,-1,-0.227014845681508,0.404695814100053
"GRHL2",1,1,-0.0101063010880052,0.227014845681508,-1,1,0.227014845681508,-1,-0.227014845681508,0.404695814100053
"Iext",-0.0101063010880052,-0.0101063010880052,1,0.762881448872583,0.0101063010880052,-0.0101063010880052,0.762881448872583,0.0101063010880052,-0.762881448872583,-0.131167011680864
"KEAP1",0.227014845681508,0.227014845681508,0.762881448872583,1,-0.227014845681509,0.227014845681508,1,-0.227014845681509,-1,-0.36828598440015
"NRF2",-1,-1,0.0101063010880052,-0.227014845681509,1,-1,-0.227014845681509,1,0.227014845681509,-0.404695814100053
"OVOL2",1,1,-0.0101063010880052,0.227014845681508,-1,1,0.227014845681508,-1,-0.227014845681508,0.404695814100053
"SNAIL",0.227014845681508,0.227014845681508,0.762881448872583,1,-0.227014845681509,0.227014845681508,1,-0.227014845681509,-1,-0.36828598440015
"ZEB",-1,-1,0.0101063010880052,-0.227014845681509,1,-1,-0.227014845681509,1,0.227014845681509,-0.404695814100053
"miR200",-0.227014845681508,-0.227014845681508,-0.762881448872583,-1,0.227014845681509,-0.227014845681508,-1,0.227014845681509,1,0.36828598440015
"miR34",0.404695814100053,0.404695814100053,-0.131167011680864,-0.36828598440015,-0.404695814100053,0.404695814100053,-0.36828598440015,-0.404695814100053,0.36828598440015,1
