"","Ecad","GRHL2","Iext","KEAP1","NRF2","OVOL2","SNAIL","ZEB","miR200","miR34"
"Ecad",1,1,-0.0100073962082589,0.0034043688739229,-0.382781177694699,1,-0.00560345441746614,-1,0.00560345441746614,0.441239941919553
"GRHL2",1,1,-0.0100073962082589,0.0034043688739229,-0.382781177694699,1,-0.00560345441746614,-1,0.00560345441746614,0.441239941919553
"Iext",-0.0100073962082589,-0.0100073962082589,1,-0.00160336952892438,0.00299641055987676,-0.0100073962082589,0.601600069002407,0.0100073962082589,-0.601600069002407,-0.165960503493527
"KEAP1",0.0034043688739229,0.0034043688739229,-0.00160336952892438,1,-0.620626022842525,0.0034043688739229,0.259058119754361,-0.0034043688739229,-0.259058119754361,-0.0632611639861726
"NRF2",-0.382781177694699,-0.382781177694699,0.00299641055987676,-0.620626022842525,1,-0.382781177694699,-0.395403230928042,0.382781177694699,0.395403230928042,-0.0402315850227256
"OVOL2",1,1,-0.0100073962082589,0.0034043688739229,-0.382781177694699,1,-0.00560345441746614,-1,0.00560345441746614,0.441239941919553
"SNAIL",-0.00560345441746614,-0.00560345441746614,0.601600069002407,0.259058119754361,-0.395403230928042,-0.00560345441746614,1,0.00560345441746614,-1,-0.56436241436664
"ZEB",-1,-1,0.0100073962082589,-0.0034043688739229,0.382781177694699,-1,0.00560345441746614,1,-0.00560345441746614,-0.441239941919553
"miR200",0.00560345441746614,0.00560345441746614,-0.601600069002407,-0.259058119754361,0.395403230928042,0.00560345441746614,-1,-0.00560345441746614,1,0.56436241436664
"miR34",0.441239941919553,0.441239941919553,-0.165960503493527,-0.0632611639861726,-0.0402315850227256,0.441239941919553,-0.56436241436664,-0.441239941919553,0.56436241436664,1
