"Network","JSD0","JSDAll","MinFrust","MeanFrust","MaxFrust","MinCoh","MeanCoh","MaxCoh","GroupStrength","netStrength","Jmetric","JStrength"
"Ecad-NRF2_2-0",0.165552420110717,0.165552420110717,0.142857142857143,0.257142857142857,0.333333333333333,"0.511","0.6572","0.847",0.31534217035087,26.2302810189552,0.28163252732844,30.0700388208688
"Ecad-NRF2_2-1",0.285541701742081,0.285541701742081,0.136363636363636,0.287878787878788,0.363636363636364,"0.413","0.5695","0.843",0.332906166405902,27.9168808168729,0.310317546327715,32.8114964751893
"Ecad-ZEB_2-0",0.00212722389402609,0.00212722389402609,0.19047619047619,0.26984126984127,0.333333333333333,"0.531","0.595666666666667","0.658",0.135378275423065,19.7871939234234,0.224123118718661,26.5668579911084
"Ecad-ZEB_2-1",0.00201587935873946,0.00201587935873946,0.227272727272727,0.303030303030303,0.363636363636364,"0.528","0.587583333333333","0.626",0.10801180611803,15.385635254423,0.222816334415175,26.4566497608678
"GRHL2-ZEB_2-0",0.000645936839726779,0.000645936839726779,0.19047619047619,0.26984126984127,0.333333333333333,"0.514","0.593","0.664",0.11036152401438,17.0238955047391,0.21391565309731,26.0841475477032
"GRHL2-ZEB_2-1",0.000357078754370304,0.000357078754370304,0.227272727272727,0.303030303030303,0.363636363636364,"0.518","0.5875","0.651",0.0985144318550111,14.8106126138436,0.211202054627874,25.9269353770182
"Iext-SNAIL_2-1",0.447737069791173,0.447737069791173,0.181818181818182,0.257575757575758,0.318181818181818,"0.566","0.629583333333333","0.689",0.170924040642642,22.7923421132029,0.203234753197376,25.4045955918056
"KEAP1-NRF2_2-0",0.174304032457392,0.174304032457392,0.19047619047619,0.285714285714286,0.333333333333333,"0.573","0.68575","0.809",0.195444525503431,22.7551159641007,0.251334212593716,28.5335597089233
"KEAP1-NRF2_2-1",0.206702951660334,0.206702951660334,0.181818181818182,0.318181818181818,0.363636363636364,"0.412","0.5834","0.793",0.200824874815772,23.5377726998624,0.237217493723635,27.6131542904072
"miR200-KEAP1_2-0",0.236865545072302,0.236865545072302,0.19047619047619,0.298701298701299,0.380952380952381,"0.396","0.531363636363636","0.699",0.243305003721942,20.9872662046157,0.156580219249814,22.5162958912419
"miR200-KEAP1_2-1",1,1,0.181818181818182,0.318181818181818,0.363636363636364,"0.421","0.5843","0.802",0.149723491995652,23.5377726998624,0.22889919088655,27.6006738308081
"miR200-ZEB_2-0",0.000208283538436143,0.000208283538436143,0.19047619047619,0.246031746031746,0.285714285714286,"0.574","0.6445","0.706",0.231214040969129,20.7855805583644,0.203841574646321,25.5319817446465
"miR200-ZEB_2-1",0.000294175310760751,0.000294175310760751,0.227272727272727,0.257575757575758,0.272727272727273,"0.539","0.636333333333333","0.715",0.109913782765672,13.875650332496,0.199980292430552,25.3157606841819
"miR34-SNAIL_2-0",0.242689562997642,0.278081516010243,0.19047619047619,0.253968253968254,0.285714285714286,"0.611","0.644333333333333","0.7",0.195261399919394,20.2892815683345,0.276869886173605,29.2974457968626
"miR34-SNAIL_2-1",0.412254902933349,0.412254902933349,0.227272727272727,0.284090909090909,0.318181818181818,"0.606","0.678625","0.79",0.0614955475189801,18.3648503715052,0.350532810625955,36.155662791826
"NRF2-SNAIL_2-0",0.219689840485509,0.25684600068695,0.19047619047619,0.222222222222222,0.285714285714286,"0.589","0.6465","0.689",0.250767260818004,21.6002559524154,0.263196303477138,28.9952040408722
"NRF2-SNAIL_2-1",0.386474063147436,0.386474063147436,0.181818181818182,0.238636363636364,0.318181818181818,"0.563","0.67325","0.795",0.257047179594684,25.0330923647499,0.341707287945209,35.8674433486834
"OVOL2-miR200_2-0",0.203903756371014,0.203903756371014,0.142857142857143,0.276190476190476,0.333333333333333,"0.41","0.5145","0.658",0.325396222486431,29.1829426230654,0.234760593881919,27.5949904138777
"OVOL2-miR200_2-1",0.471949781461597,0.471949781461597,0.136363636363636,0.246753246753247,0.318181818181818,"0.446","0.569285714285714","0.666",0.328113022298316,28.9488272788642,0.253453284497313,29.6497604561649
