"","Ecad","GRHL2","Iext","KEAP1","NRF2","OVOL2","SNAIL","ZEB","miR200","miR34"
"Ecad",1,0.12521338924587,-0.0227202446257997,-0.0529473093927086,-0.395256318131688,1,-0.0529473093927086,-1,0.0529473093927086,0.45250726928544
"GRHL2",0.12521338924587,1,-0.00030146289850488,-0.000102304299148854,-0.0525455271052617,0.12521338924587,-0.000102304299148854,-0.12521338924587,0.000102304299148854,0.0465442084606661
"Iext",-0.0227202446257997,-0.00030146289850488,1,0.563807130701361,-0.115603370691387,-0.0227202446257997,0.563807130701361,0.0227202446257997,-0.563807130701361,-0.16424709075257
"KEAP1",-0.0529473093927086,-0.000102304299148854,0.563807130701361,1,-0.55179598592411,-0.0529473093927086,1,0.0529473093927086,-1,-0.600439719882742
"NRF2",-0.395256318131688,-0.0525455271052617,-0.115603370691387,-0.55179598592411,1,-0.395256318131688,-0.55179598592411,0.395256318131688,0.55179598592411,0.152235801874291
"OVOL2",1,0.12521338924587,-0.0227202446257997,-0.0529473093927086,-0.395256318131688,1,-0.0529473093927086,-1,0.0529473093927086,0.45250726928544
"SNAIL",-0.0529473093927086,-0.000102304299148854,0.563807130701361,1,-0.55179598592411,-0.0529473093927086,1,0.0529473093927086,-1,-0.600439719882742
"ZEB",-1,-0.12521338924587,0.0227202446257997,0.0529473093927086,0.395256318131688,-1,0.0529473093927086,1,-0.0529473093927086,-0.45250726928544
"miR200",0.0529473093927086,0.000102304299148854,-0.563807130701361,-1,0.55179598592411,0.0529473093927086,-1,-0.0529473093927086,1,0.600439719882742
"miR34",0.45250726928544,0.0465442084606661,-0.16424709075257,-0.600439719882742,0.152235801874291,0.45250726928544,-0.600439719882742,-0.45250726928544,0.600439719882742,1
