"","Ecad","GRHL2","Iext","KEAP1","NRF2","OVOL2","SNAIL","ZEB","miR200","miR34"
"Ecad",1,1,-0.0120079360074962,-0.0368236478013451,-0.407044778123938,1,-0.0368236478013451,-1,0.0368236478013451,0.437662805340365
"GRHL2",1,1,-0.0120079360074962,-0.0368236478013451,-0.407044778123938,1,-0.0368236478013451,-1,0.0368236478013451,0.437662805340365
"Iext",-0.0120079360074962,-0.0120079360074962,1,0.559734975513244,-0.115866031763698,-0.0120079360074962,0.559734975513244,0.0120079360074962,-0.559734975513244,-0.158895214637786
"KEAP1",-0.0368236478013451,-0.0368236478013451,0.559734975513244,1,-0.55613024146554,-0.0368236478013451,1,0.0368236478013451,-1,-0.599160754776502
"NRF2",-0.407044778123938,-0.407044778123938,-0.115866031763698,-0.55613024146554,1,-0.407044778123938,-0.55613024146554,0.407044778123938,0.55613024146554,0.15529346566392
"OVOL2",1,1,-0.0120079360074962,-0.0368236478013451,-0.407044778123938,1,-0.0368236478013451,-1,0.0368236478013451,0.437662805340365
"SNAIL",-0.0368236478013451,-0.0368236478013451,0.559734975513244,1,-0.55613024146554,-0.0368236478013451,1,0.0368236478013451,-1,-0.599160754776502
"ZEB",-1,-1,0.0120079360074962,0.0368236478013451,0.407044778123938,-1,0.0368236478013451,1,-0.0368236478013451,-0.437662805340365
"miR200",0.0368236478013451,0.0368236478013451,-0.559734975513244,-1,0.55613024146554,0.0368236478013451,-1,-0.0368236478013451,1,0.599160754776502
"miR34",0.437662805340365,0.437662805340365,-0.158895214637786,-0.599160754776502,0.15529346566392,0.437662805340365,-0.599160754776502,-0.437662805340365,0.599160754776502,1
